Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down	BS.EdgeTypeRatio
ABCF1	ASB2	0.243400	0.243400	0.000000	0.819228	3	unknown	nan/nan/nan
ABCF1	ATIC	0.078400	0.078400	0.000000	0.932398	3	unknown	nan/nan/nan
ABCF1	COL13A1	0.075000	0.075000	0.000000	0.978667	3	unknown	nan/nan/nan
CTPS	ABCF1	0.243800	0.243800	0.000000	0.642740	3	unknown	nan/nan/nan
DAZAP2	ABCF1	0.059600	0.059600	0.000000	0.989933	3	unknown	nan/nan/nan
EMILIN2	ABCF1	0.132500	0.132500	0.000000	0.966792	3	unknown	nan/nan/nan
GNAQ	ABCF1	0.390800	0.390800	0.000000	0.948311	3	unknown	nan/nan/nan
GRK5	ABCF1	0.120200	0.120200	0.000000	0.950915	3	unknown	nan/nan/nan
ABCF1	GYS1	0.058100	0.058100	0.000000	0.962134	3	unknown	nan/nan/nan
ABCF1	ICAM2	0.201400	0.201400	0.000000	0.710526	3	unknown	nan/nan/nan
ABCF1	IGFBP4	0.186900	0.186900	0.000000	0.967897	3	unknown	nan/nan/nan
JAK3	ABCF1	0.243300	0.243300	0.000000	0.548705	3	unknown	nan/nan/nan
ABCF1	KIAA1949	0.296700	0.296700	0.000000	0.501854	3	unknown	nan/nan/nan
KLK3	ABCF1	0.106600	0.106600	0.000000	0.919325	3	unknown	nan/nan/nan
MAP3K4	ABCF1	0.070100	0.070100	0.000000	0.971469	3	unknown	nan/nan/nan
ABCF1	MAPK13	0.102300	0.102300	0.000000	0.591398	3	unknown	nan/nan/nan
MEX3D	ABCF1	0.071700	0.071700	0.000000	0.906555	3	unknown	nan/nan/nan
MOBKL2C	ABCF1	0.061000	0.061000	0.000000	0.740984	3	unknown	nan/nan/nan
ABCF1	NDRG1	0.267400	0.267400	0.000000	0.784592	3	unknown	nan/nan/nan
ABCF1	POP1	0.055400	0.055400	0.000000	0.559567	3	unknown	nan/nan/nan
ABCF1	PPRC1	0.264900	0.264900	0.000000	0.551529	3	unknown	nan/nan/nan
PRNP	ABCF1	0.146000	0.146000	0.000000	0.982877	3	unknown	nan/nan/nan
RAB5A	ABCF1	0.085900	0.085900	0.000000	0.997672	3	unknown	nan/nan/nan
ABCF1	RPL22L1	0.056500	0.056500	0.000000	0.753982	3	unknown	nan/nan/nan
RPS6KA1	ABCF1	0.187700	0.187700	0.000000	0.654768	3	unknown	nan/nan/nan
ABCF1	STAT5A	0.181900	0.181900	0.000000	0.560748	3	unknown	nan/nan/nan
ABCF1	TINF2	0.120500	0.120500	0.000000	0.868050	3	unknown	nan/nan/nan
ABCF1	TRIB3	0.173900	0.173900	0.000000	0.903968	3	unknown	nan/nan/nan
ABCF1	TUBA1B	0.058500	0.058500	0.000000	0.528205	3	unknown	nan/nan/nan
TXNIP	ABCF1	0.464400	0.464400	0.000000	0.985573	3	unknown	nan/nan/nan
UST	ABCF1	0.083200	0.083200	0.000000	0.733173	3	unknown	nan/nan/nan
VANGL1	ABCF1	0.057500	0.057500	0.000000	0.640000	3	unknown	nan/nan/nan
VAV1	ABCF1	0.079400	0.079400	0.000000	0.590680	3	unknown	nan/nan/nan
ABCF1	WNT3	0.106600	0.106600	0.000000	0.934334	3	unknown	nan/nan/nan
ABCF1	YWHAB	0.081100	0.081100	0.000000	0.983970	3	unknown	nan/nan/nan
CBL	ABLIM1	0.238500	0.238500	0.000000	0.928721	3	unknown	nan/nan/nan
CCDC88A	ABLIM1	0.133600	0.133600	0.000000	0.860030	3	unknown	nan/nan/nan
CHST11	ABLIM1	0.270600	0.270600	0.000000	0.871027	3	unknown	nan/nan/nan
COTL1	ABLIM1	0.060200	0.060200	0.000000	0.910299	3	unknown	nan/nan/nan
EIF2C2	ABLIM1	0.074900	0.074900	0.000000	0.895861	3	unknown	nan/nan/nan
ELF1	ABLIM1	0.056400	0.056400	0.000000	1.000000	3	unknown	nan/nan/nan
EPHA4	ABLIM1	0.097500	0.097500	0.000000	0.586667	3	unknown	nan/nan/nan
ABLIM1	FKSG2	0.056600	0.056600	0.000000	0.683746	3	unknown	nan/nan/nan
GNAS	ABLIM1	0.333500	0.333500	0.000000	0.620090	3	unknown	nan/nan/nan
ABLIM1	ITCH	0.054300	0.054300	0.000000	0.941068	3	unknown	nan/nan/nan
ABLIM1	ITPR2	0.100900	0.100900	0.000000	0.761150	3	unknown	nan/nan/nan
ABLIM1	KCNG1	0.089300	0.089300	0.000000	0.983203	3	unknown	nan/nan/nan
MAP3K3	ABLIM1	0.137600	0.137600	0.000000	0.621366	3	unknown	nan/nan/nan
NCOA3	ABLIM1	0.094300	0.094300	0.000000	0.710498	3	unknown	nan/nan/nan
NFAT5	ABLIM1	0.068600	0.068600	0.000000	0.892128	3	unknown	nan/nan/nan
NFKBIZ	ABLIM1	0.100700	0.100700	0.000000	0.976167	3	unknown	nan/nan/nan
OSBPL8	ABLIM1	0.161700	0.161700	0.000000	0.958565	3	unknown	nan/nan/nan
ABLIM1	PPP1R12B	0.300200	0.300200	0.000000	0.664890	3	unknown	nan/nan/nan
SET	ABLIM1	0.061700	0.061700	0.000000	0.763371	3	unknown	nan/nan/nan
ABLIM1	SH3KBP1	0.227900	0.227900	0.000000	0.538394	3	unknown	nan/nan/nan
ABLIM1	SYNJ2	0.221800	0.221800	0.000000	0.739405	3	unknown	nan/nan/nan
TNFRSF10A	ABLIM1	0.932000	0.932000	0.000000	0.860730	3	unknown	nan/nan/nan
WASF2	ABLIM1	0.959300	0.959300	0.000000	0.909413	3	unknown	nan/nan/nan
ATP2B1	ACAT2	0.060600	0.060600	0.000000	0.971947	3	unknown	nan/nan/nan
CEP170	ACAT2	0.083300	0.083300	0.000000	0.930372	3	unknown	nan/nan/nan
CHST7	ACAT2	0.069200	0.069200	0.000000	0.868497	3	unknown	nan/nan/nan
CLDN5	ACAT2	0.058900	0.058900	0.000000	0.988115	3	unknown	nan/nan/nan
CYP1B1	ACAT2	0.075500	0.075500	0.000000	0.980132	3	unknown	nan/nan/nan
ACAT2	CYP27B1	0.153200	0.153200	0.000000	0.627285	3	unknown	nan/nan/nan
DPH2	ACAT2	0.085000	0.085000	0.000000	0.777647	3	unknown	nan/nan/nan
E2F3	ACAT2	0.061300	0.061300	0.000000	0.936378	3	unknown	nan/nan/nan
ELF1	ACAT2	0.077100	0.077100	0.000000	0.990921	3	unknown	nan/nan/nan
KCTD12	ACAT2	0.059300	0.059300	0.000000	0.892074	3	unknown	nan/nan/nan
ACAT2	MAP1B	0.118200	0.118200	0.000000	0.504230	3	unknown	nan/nan/nan
MAPK13	ACAT2	0.117500	0.117500	0.000000	0.830638	3	unknown	nan/nan/nan
MAPK8	ACAT2	0.113300	0.113300	0.000000	0.877317	3	unknown	nan/nan/nan
MVK	ACAT2	0.080700	0.080700	0.000000	1.000000	3	unknown	nan/nan/nan
NFKB2	ACAT2	0.058800	0.058800	0.000000	0.981293	3	unknown	nan/nan/nan
PPAP2A	ACAT2	0.336000	0.336000	0.000000	0.755952	3	unknown	nan/nan/nan
PPP3CB	ACAT2	0.085200	0.085200	0.000000	0.996479	3	unknown	nan/nan/nan
PTEN	ACAT2	0.051300	0.051300	0.000000	0.881092	3	unknown	nan/nan/nan
RHOD	ACAT2	0.066100	0.066100	0.000000	1.000000	3	unknown	nan/nan/nan
