Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down
CREBBP	NCOR1	0.233600	0.233600	0.000000	0.671233	3	unknown
CREBBP	MIXL1	0.065800	0.065800	0.000000	1.000000	3	unknown
CREBBP	GSX1	0.278900	0.278900	0.000000	0.795626	3	unknown
CREBBP	ARNTL	0.069000	0.069000	0.000000	0.882609	3	unknown
CREBBP	NR2F6	0.283900	0.283900	0.000000	0.511800	3	unknown
CTNNB1	CREBBP	0.570800	0.570800	0.000000	0.990715	3	unknown
CREBBP	AR	0.166800	0.166800	0.000000	0.767986	3	unknown
SOX9	CREBBP	0.085400	0.085400	0.000000	0.988290	3	unknown
HNF4G	CREBBP	0.352800	0.352800	0.000000	0.927438	3	unknown
NCOR1	GSX1	0.251000	0.251000	0.000000	0.712351	3	unknown
TADA2A	NCOR1	0.952500	0.952500	0.000000	0.847349	3	unknown
NR2F6	NCOR1	0.913400	0.913400	0.000000	0.763083	3	unknown
AR	NCOR1	0.054900	0.054900	0.000000	0.528233	3	unknown
HNF4G	NCOR1	0.084400	0.084400	0.000000	0.712085	3	unknown
NCOR1	TBX15	0.223400	0.223400	0.000000	0.919875	3	unknown
GSX1	MIXL1	0.924000	0.924000	0.000000	0.541017	3	unknown
MIXL1	NPAS2	0.603800	0.603800	0.000000	0.824114	3	unknown
TCF7	MIXL1	0.490000	0.490000	0.000000	0.915102	3	unknown
NR2F6	MIXL1	0.091100	0.091100	0.000000	0.936334	3	unknown
SP1	MIXL1	0.132900	0.132900	0.000000	0.793078	3	unknown
SOX9	MIXL1	0.064600	0.064600	0.000000	0.998452	3	unknown
RNF4	MIXL1	0.319700	0.319700	0.000000	0.992493	3	unknown
GSX1	NPAS2	0.084300	0.084300	0.000000	0.633452	3	unknown
TCF7	GSX1	0.442900	0.442900	0.000000	0.818018	3	unknown
ZC3H8	GSX1	0.257400	0.257400	0.000000	0.647630	3	unknown
SP1	GSX1	0.324200	0.324200	0.000000	0.755398	3	unknown
GSX1	TAF5L	0.052400	0.052400	0.000000	0.786260	3	unknown
TADA2A	ZC3H8	0.441500	0.441500	0.000000	0.624236	3	unknown
CTNNB1	TADA2A	0.133500	0.133500	0.000000	0.758801	3	unknown
ZNF75D	TADA2A	0.167300	0.167300	0.000000	0.781231	3	unknown
