Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down	BS.EdgeTypeRatio
ABCF1	BCL2	0.164900	0.164900	0.000000	0.653123	3	unknown	-nan/-nan/-nan
ABCF1	CDK4	0.619300	0.619300	0.000000	0.700630	3	unknown	-nan/-nan/-nan
ABCF1	CHAF1A	0.053600	0.053600	0.000000	0.843284	3	unknown	-nan/-nan/-nan
ABCF1	CHODL	0.066700	0.066700	0.000000	0.701649	3	unknown	-nan/-nan/-nan
ABCF1	CLPP	0.208600	0.208600	0.000000	0.728188	3	unknown	-nan/-nan/-nan
ABCF1	CSNK1E	0.081800	0.081800	0.000000	0.601467	3	unknown	-nan/-nan/-nan
CTPS	ABCF1	0.072300	0.072300	0.000000	0.769018	3	unknown	-nan/-nan/-nan
ABCF1	CXCL14	0.093000	0.093000	0.000000	0.717204	3	unknown	-nan/-nan/-nan
ABCF1	CYP2U1	0.089100	0.089100	0.000000	0.691358	3	unknown	-nan/-nan/-nan
ABCF1	DVL3	0.064600	0.064600	0.000000	0.574303	3	unknown	-nan/-nan/-nan
E2F1	ABCF1	0.200200	0.200200	0.000000	0.917582	3	unknown	-nan/-nan/-nan
EIF4EBP1	ABCF1	0.412900	0.412900	0.000000	0.704771	3	unknown	-nan/-nan/-nan
ABCF1	EIF6	0.105600	0.105600	0.000000	0.795455	3	unknown	-nan/-nan/-nan
ELOVL1	ABCF1	0.099800	0.099800	0.000000	0.525050	3	unknown	-nan/-nan/-nan
EMG1	ABCF1	0.051100	0.051100	0.000000	0.714286	3	unknown	-nan/-nan/-nan
FAM129B	ABCF1	0.103900	0.103900	0.000000	0.571704	3	unknown	-nan/-nan/-nan
GAPDH	ABCF1	0.090500	0.090500	0.000000	0.513812	3	unknown	-nan/-nan/-nan
ABCF1	HSPA14	0.074800	0.074800	0.000000	0.814171	3	unknown	-nan/-nan/-nan
ABCF1	KCNG1	0.100600	0.100600	0.000000	0.526839	3	unknown	-nan/-nan/-nan
LSM1	ABCF1	0.242500	0.242500	0.000000	0.850309	3	unknown	-nan/-nan/-nan
LYPLA2	ABCF1	0.115900	0.115900	0.000000	0.654875	3	unknown	-nan/-nan/-nan
ABCF1	MAN2A2	0.058000	0.058000	0.000000	0.537931	3	unknown	-nan/-nan/-nan
NR3C1	ABCF1	0.060600	0.060600	0.000000	0.938944	3	unknown	-nan/-nan/-nan
ABCF1	NRIP1	0.073600	0.073600	0.000000	0.759511	3	unknown	-nan/-nan/-nan
PFDN2	ABCF1	0.082700	0.082700	0.000000	0.790810	3	unknown	-nan/-nan/-nan
ABCF1	PPP1R11	0.088100	0.088100	0.000000	0.881952	3	unknown	-nan/-nan/-nan
ABCF1	RCOR2	0.068800	0.068800	0.000000	0.808140	3	unknown	-nan/-nan/-nan
ABCF1	RNF5	0.116700	0.116700	0.000000	0.633248	3	unknown	-nan/-nan/-nan
RRP1	ABCF1	0.148700	0.148700	0.000000	0.642905	3	unknown	-nan/-nan/-nan
ABCF1	RXRB	0.059800	0.059800	0.000000	0.829431	3	unknown	-nan/-nan/-nan
