Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down
SOX4	GATA3	0.408700	0.408700	0.000000	0.773917	3	unknown
GATA3	TFAP2B	0.054200	0.054200	0.000000	0.880074	3	unknown
FOXN3	GATA3	0.190100	0.190100	0.000000	0.668595	3	unknown
EPAS1	GATA3	0.087600	0.087600	0.000000	0.955479	3	unknown
GATA3	KLF12	0.089200	0.089200	0.000000	0.897982	3	unknown
PPARG	GATA3	0.088300	0.088300	0.000000	0.707814	3	unknown
GATA3	RUNX1	0.082600	0.082600	0.000000	0.837772	3	unknown
GATA3	ETV1	0.216300	0.216300	0.000000	0.844660	3	unknown
GATA3	ELF5	0.174000	0.174000	0.000000	0.998851	3	unknown
E2F3	GATA3	0.479500	0.479500	0.000000	0.964755	3	unknown
FUBP1	GATA3	0.237700	0.237700	0.000000	0.819520	3	unknown
RFX5	GATA3	0.082000	0.082000	0.000000	0.675610	3	unknown
TFAP2A	GATA3	0.479800	0.479800	0.000000	0.782201	3	unknown
GATA3	LASS6	0.262100	0.262100	0.000000	0.651660	3	unknown
GATA3	NR2F6	0.120200	0.120200	0.000000	0.818636	3	unknown
SOX9	GATA3	0.226700	0.226700	0.000000	0.818703	3	unknown
GATA3	IRX5	0.157300	0.157300	0.000000	0.891291	3	unknown
CEBPB	GATA3	0.188200	0.188200	0.000000	0.887885	3	unknown
MEOX1	GATA3	0.105700	0.105700	0.000000	0.933775	3	unknown
GATA3	LASS2	0.068600	0.068600	0.000000	0.992711	3	unknown
TRPS1	GATA3	0.162500	0.162500	0.000000	0.551385	3	unknown
ERG	GATA3	0.174600	0.174600	0.000000	0.951890	3	unknown
GATA3	ZNF33B	0.095400	0.095400	0.000000	0.988470	3	unknown
GATA3	HOXC5	0.199000	0.199000	0.000000	0.966834	3	unknown
GATA3	ZNF217	0.155200	0.155200	0.000000	0.768686	3	unknown
FOS	MEOX2	0.240400	0.240400	0.000000	0.516639	3	unknown
FOSB	FOS	0.543100	0.543100	0.000000	0.515559	3	unknown
FOS	KLF2	0.669900	0.669900	0.000000	0.588147	3	unknown
KLF4	FOS	0.283100	0.283100	0.000000	0.703992	3	unknown
FOXN3	FOS	0.051800	0.051800	0.000000	0.588803	3	unknown
EPAS1	FOS	0.075700	0.075700	0.000000	0.533686	3	unknown
FOS	PPARG	0.060200	0.060200	0.000000	0.556478	3	unknown
TWIST1	FOS	0.050700	0.050700	0.000000	0.522682	3	unknown
FOXO1	FOS	0.061600	0.061600	0.000000	0.631494	3	unknown
FOS	SCAND2	0.126800	0.126800	0.000000	0.996845	3	unknown
FOS	TCF7L2	0.625100	0.625100	0.000000	0.644217	3	unknown
TFE3	FOS	0.093500	0.093500	0.000000	0.588235	3	unknown
FOS	KLF9	0.079700	0.079700	0.000000	0.883312	3	unknown
FOS	STAT5A	0.346200	0.346200	0.000000	0.501733	3	unknown
FOS	SALL1	0.103000	0.103000	0.000000	0.976699	3	unknown
FOS	HAND1	0.065700	0.065700	0.000000	0.987823	3	unknown
FOS	ETS2	0.166400	0.166400	0.000000	0.965144	3	unknown
EGR1	FOS	0.122000	0.122000	0.000000	0.530328	3	unknown
FOS	TAL1	0.066100	0.066100	0.000000	0.676248	3	unknown
FOS	NR1H3	0.075600	0.075600	0.000000	0.964286	3	unknown
FOS	ZNF238	0.062400	0.062400	0.000000	0.998397	3	unknown
FOS	KLF10	0.125300	0.125300	0.000000	0.904230	3	unknown
FOS	NR4A2	0.156400	0.156400	0.000000	0.844629	3	unknown
ERG	FOS	0.159800	0.159800	0.000000	0.632040	3	unknown
FOS	PFDN1	0.228400	0.228400	0.000000	0.985114	3	unknown
FOS	TP63	0.059100	0.059100	0.000000	0.944162	3	unknown
FOS	HOXA4	0.059100	0.059100	0.000000	1.000000	3	unknown
FOS	E2F4	0.057800	0.057800	0.000000	0.839100	3	unknown
ATF3	FOS	0.924400	0.924400	0.000000	0.660969	3	unknown
MEOX2	KLF2	0.281200	0.281200	0.000000	0.665718	3	unknown
MEOX2	KLF4	0.128400	0.128400	0.000000	0.537383	3	unknown
MEOX2	FOXN3	0.351300	0.351300	0.000000	0.892684	3	unknown
EPAS1	MEOX2	0.796000	0.796000	0.000000	0.781281	3	unknown
MEOX2	PPARG	0.252400	0.252400	0.000000	0.719889	3	unknown
MEOX2	HOXA10	0.076600	0.076600	0.000000	0.983029	3	unknown
MEOX2	TWIST1	0.099400	0.099400	0.000000	0.755533	3	unknown
