Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down
SLC26A3	TFAP2B	0.076300	0.076300	0.000000	0.703801	3	unknown
TFAP2B	POU1F1	0.073300	0.073300	0.000000	0.822647	3	unknown
MSX2	TFAP2B	0.428500	0.428500	0.000000	0.578063	3	unknown
TFAP2B	TCF7L2	0.109600	0.109600	0.000000	0.957117	3	unknown
TAF13	TFAP2B	0.100900	0.100900	0.000000	0.977205	3	unknown
TFAP2B	POU2F3	0.149500	0.149500	0.000000	0.754515	3	unknown
FOXA1	TFAP2B	0.076300	0.076300	0.000000	0.994758	3	unknown
TFAP2B	ESRRG	0.326000	0.326000	0.000000	0.581288	3	unknown
WNT5A	TFAP2B	0.093700	0.093700	0.000000	0.865528	3	unknown
SOX2	TFAP2B	0.060000	0.060000	0.000000	0.903333	3	unknown
CREB3L1	TFAP2B	0.102100	0.102100	0.000000	0.919687	3	unknown
SIX1	TFAP2B	0.139000	0.139000	0.000000	0.612230	3	unknown
ZNF41	TFAP2B	0.070500	0.070500	0.000000	0.720567	3	unknown
TFAP2B	FOXE1	0.140900	0.140900	0.000000	0.704045	3	unknown
TFAP2B	ZNF157	0.067000	0.067000	0.000000	0.968657	3	unknown
E2F5	TFAP2B	0.082700	0.082700	0.000000	0.974607	3	unknown
AR	TFAP2B	0.140700	0.140700	0.000000	0.931770	3	unknown
TFAP2B	NR3C2	0.069400	0.069400	0.000000	0.808357	3	unknown
CUX2	TFAP2B	0.104500	0.104500	0.000000	0.544498	3	unknown
TFAP2B	LHX2	0.053300	0.053300	0.000000	0.936210	3	unknown
MYC	TFAP2B	0.116100	0.116100	0.000000	0.663221	3	unknown
EPAS1	TFAP2B	0.070800	0.070800	0.000000	0.720339	3	unknown
ARNTL2	TFAP2B	0.137700	0.137700	0.000000	0.859114	3	unknown
TSC22D3	TFAP2B	0.105300	0.105300	0.000000	0.518519	3	unknown
VDR	TFAP2B	0.101500	0.101500	0.000000	0.755665	3	unknown
TFAP2B	TBX2	0.111700	0.111700	0.000000	0.518353	3	unknown
TEF	TFAP2B	0.077600	0.077600	0.000000	0.713918	3	unknown
FOXM1	TFAP2B	0.086400	0.086400	0.000000	0.957176	3	unknown
ZNF81	TFAP2B	0.222000	0.222000	0.000000	0.940991	3	unknown
TFAP2B	PRDM1	0.074100	0.074100	0.000000	0.568151	3	unknown
ZHX3	TFAP2B	0.355500	0.355500	0.000000	0.729958	3	unknown
HMGA1	TFAP2B	0.073400	0.073400	0.000000	0.895095	3	unknown
NR2C1	TFAP2B	0.075000	0.075000	0.000000	0.600000	3	unknown
HMGB2	TFAP2B	0.149300	0.149300	0.000000	0.876758	3	unknown
NR5A1	TFAP2B	0.103800	0.103800	0.000000	0.620424	3	unknown
TFAP2B	HOXA2	0.075500	0.075500	0.000000	0.797351	3	unknown
ATF6B	TFAP2B	0.218700	0.218700	0.000000	0.567901	3	unknown
FUBP1	TFAP2B	0.203900	0.203900	0.000000	0.879843	3	unknown
E2F1	TFAP2B	0.210500	0.210500	0.000000	0.839905	3	unknown
CEBPB	TFAP2B	0.136100	0.136100	0.000000	0.947832	3	unknown
NFIL3	TFAP2B	0.051000	0.051000	0.000000	0.992157	3	unknown
VAX2	TFAP2B	0.171900	0.171900	0.000000	0.673647	3	unknown
TFAP2B	TFDP1	0.105100	0.105100	0.000000	0.596575	3	unknown
ELF5	SOX11	0.072000	0.072000	0.000000	0.783333	3	unknown
ESR1	SOX11	0.380100	0.380100	0.000000	0.559326	3	unknown
PGR	SOX11	0.207800	0.207800	0.000000	0.701636	3	unknown
GATA3	SOX11	0.208700	0.208700	0.000000	0.944897	3	unknown
SOX11	FOS	0.062600	0.062600	0.000000	0.846645	3	unknown
SOX11	NR2F2	0.161900	0.161900	0.000000	0.699197	3	unknown
SOX11	MYCN	0.073200	0.073200	0.000000	0.954918	3	unknown
SOX11	MSX2	0.178000	0.178000	0.000000	0.838764	3	unknown
SOX11	EN1	0.066300	0.066300	0.000000	0.936652	3	unknown
FOXA1	SOX11	0.178600	0.178600	0.000000	0.931691	3	unknown
GATA6	SOX11	0.098000	0.098000	0.000000	0.620408	3	unknown
SOX11	MEOX2	0.198900	0.198900	0.000000	0.995475	3	unknown
FOXC1	SOX11	0.164100	0.164100	0.000000	0.851310	3	unknown
SOX11	TRIM29	0.205000	0.205000	0.000000	0.727805	3	unknown
SOX11	NFATC4	0.552100	0.552100	0.000000	0.883717	3	unknown
XBP1	SOX11	0.130700	0.130700	0.000000	0.908952	3	unknown
MZF1	SOX11	0.173000	0.173000	0.000000	0.589017	3	unknown
LMO4	SOX11	0.142500	0.142500	0.000000	0.562807	3	unknown
SOX11	TAL1	0.128600	0.128600	0.000000	0.971229	3	unknown
SOX11	NR6A1	0.083100	0.083100	0.000000	0.808664	3	unknown
SOX11	NFX1	0.082600	0.082600	0.000000	0.970944	3	unknown
SOX11	CDKN2A	0.060100	0.060100	0.000000	0.550749	3	unknown
SOX11	EGR2	0.506400	0.506400	0.000000	0.743483	3	unknown
SOX11	FOSL2	0.069900	0.069900	0.000000	0.969957	3	unknown
SOX9	SOX11	0.327800	0.327800	0.000000	0.561928	3	unknown
SOX11	HOXB7	0.093700	0.093700	0.000000	0.965848	3	unknown
SOX11	RFXAP	0.054000	0.054000	0.000000	0.970370	3	unknown
SMAD3	SOX11	0.343100	0.343100	0.000000	0.529000	3	unknown
HDAC2	SOX11	0.839200	0.839200	0.000000	0.773951	3	unknown
LASS6	SOX11	0.104100	0.104100	0.000000	0.710855	3	unknown
SOX11	TEAD4	0.111700	0.111700	0.000000	0.986571	3	unknown
E2F3	SOX11	0.134600	0.134600	0.000000	0.882615	3	unknown
SOX11	SOX17	0.083900	0.083900	0.000000	0.965435	3	unknown
SOX11	HMGB2	0.050600	0.050600	0.000000	0.940711	3	unknown
YBX1	SOX11	0.254200	0.254200	0.000000	0.907553	3	unknown
MEIS3P1	SOX11	0.060500	0.060500	0.000000	0.806612	3	unknown
SOX11	ZNF93	0.711700	0.711700	0.000000	0.631165	3	unknown
KLF11	SOX11	0.139800	0.139800	0.000000	0.580830	3	unknown
SOX11	NFIL3	0.279000	0.279000	0.000000	0.512186	3	unknown
LASS2	SOX11	0.061900	0.061900	0.000000	0.557351	3	unknown
SOX11	ATF1	0.148900	0.148900	0.000000	0.620551	3	unknown
