Parent	Child	relationType	edgeScore	Freq
COX16	SHANK2	Type 0	0.425658	0.425658
FN1	SPIRE2	Type 0	0.242736	0.242736
TOR1AIP2	CALML4	Type 0	0.457677	0.457677
CALD1	RAPGEF6	Type 0	0.283019	0.283019
ABI1	RAPGEF6	Type 0	0.993719	0.993719
RAPGEF6	MAP9	Type 0	0.325179	0.325179
RAPGEF6	C3orf38	Type 0	0.475594	0.475594
RAPGEF6	CALD1	Type 0	0.716981	0.716981
RAPGEF6	KIAA0232	Type 0	0.997860	0.997860
RAPGEF6	CALCOCO2	Type 0	0.270671	0.270671
DNAJC12	PHOSPHO2	Type 0	0.248002	0.248002
TBC1D9	PHOSPHO2	Type 0	0.440885	0.440885
MPZL2	VEPH1	Type 0	0.243366	0.243366
FUT9	VEPH1	Type 0	0.301630	0.301630
FOXQ1	VEPH1	Type 0	0.299372	0.299372
LOC100134361	VEPH1	Type 0	0.982712	0.982712
ZNF295	VEPH1	Type 0	0.292276	0.292276
BTNL9	VEPH1	Type 0	0.294809	0.294809
ZNF469	VEPH1	Type 0	0.394462	0.394462
RPL39L	VEPH1	Type 0	0.225394	0.225394
WISP1	VEPH1	Type 0	0.243243	0.243243
SH3PXD2B	VEPH1	Type 0	0.264418	0.264418
CA2	MTRR	Type 0	0.299789	0.299789
FGFR1OP2	MTRR	Type 0	0.299325	0.299325
MBP	MTRR	Type 0	0.918760	0.918760
C8orf38	MTRR	Type 0	0.294030	0.294030
PIGW	MTRR	Type 0	0.281359	0.281359
HOXB13	MTRR	Type 0	0.250284	0.250284
VTI1B	MTRR	Type 0	0.224903	0.224903
SCLT1	MTRR	Type 0	0.504662	0.504662
MTRR	HIST1H2BC///HIST1H2BI///HIST1H2BE///HIST1H2BF///HIST1H2BG	Type 0	0.298650	0.298650
MTRR	ZBTB43	Type 0	0.239286	0.239286
S100A2	LAMB3	Type 0	0.235129	0.235129
KRT5	LAMB3	Type 0	0.323371	0.323371
LAMB3	NEFH	Type 0	0.300932	0.300932
MED30	EXT1	Type 0	0.261881	0.261881
TMEM200C	LOC84740	Type 0	0.427987	0.427987
LIMA1	LOC84740	Type 0	0.278642	0.278642
LYPD6B	AXIN2	Type 0	0.301163	0.301163
PCDHGA4	AXIN2	Type 0	0.243097	0.243097
C19orf33	AXIN2	Type 0	0.669811	0.669811
AXIN2	C19orf33	Type 0	0.330189	0.330189
MGST3	MYO5A	Type 0	0.210043	0.210043
TMTC3	MYO5A	Type 0	0.457257	0.457257
MYO5A	IBSP	Type 0	1.000000	1.000000
MYO5A	RBM8A	Type 0	0.300746	0.300746
MYO5A	ZNF414	Type 0	0.257176	0.257176
MYO5A	EIF1	Type 0	0.732178	0.732178
BBOX1	SOX7	Type 0	0.297964	0.297964
CXCL2	SOX7	Type 0	0.364870	0.364870
EPHA4	SOX7	Type 0	0.295570	0.295570
CSGALNACT1	SOX7	Type 0	0.202638	0.202638
SDPR	SOX7	Type 0	0.263397	0.263397
RNF6	SOX7	Type 0	0.282692	0.282692
KIAA1324L	SERAC1	Type 0	0.452183	0.452183
MEX3A	SERAC1	Type 0	0.306030	0.306030
GPC2	SERAC1	Type 0	0.220362	0.220362
CHCHD5	SERAC1	Type 0	0.250795	0.250795
