Parent	Child	BS.Prob	edgeScore	BS.Direction
ABCF1	ACTN4	0.058100	0.058100	0.836489
ABCF1	ADCY3	0.223400	0.223400	0.874217
ABCF1	APLN	0.238300	0.238300	0.975661
ABCF1	ARHGEF2	0.243700	0.243700	0.978252
ABCF1	ARHGEF4	0.054700	0.054700	0.861060
ABCF1	ATF2	0.064900	0.064900	0.852080
ABCF1	BRAF	0.057900	0.057900	0.761658
ABCF1	CALB1	0.066200	0.066200	0.974320
ABCF1	CASC4	0.184200	0.184200	0.787188
CCNB2	ABCF1	0.520100	0.520100	0.830802
CCNE1	ABCF1	0.119900	0.119900	0.970809
CD3EAP	ABCF1	0.092100	0.092100	0.538545
CDH11	ABCF1	0.058200	0.058200	0.915808
CDKN2A	ABCF1	0.383200	0.383200	0.961117
ABCF1	CEBPE	0.124700	0.124700	0.975942
CENPF	ABCF1	0.465800	0.465800	0.897596
CHAF1A	ABCF1	0.202400	0.202400	0.713933
ABCF1	CHST11	0.113100	0.113100	0.633952
ABCF1	CHST3	0.200100	0.200100	0.941529
ABCF1	CKB	0.055800	0.055800	0.831541
ABCF1	CPD	0.052800	0.052800	0.958333
CTPS	ABCF1	0.347400	0.347400	0.824410
DAZAP2	ABCF1	0.141600	0.141600	0.697034
ABCF1	DYRK1A	0.057800	0.057800	1.000000
E2F2	ABCF1	0.530800	0.530800	0.716277
E2F3	ABCF1	0.725300	0.725300	0.682200
EIF2C2	ABCF1	0.124100	0.124100	0.933118
ELF5	ABCF1	0.070500	0.070500	0.856738
ABCF1	EN2	0.214800	0.214800	0.930633
ABCF1	ENO1	0.267900	0.267900	0.644270
ABCF1	EPHA2	0.258900	0.258900	0.988799
FERMT1	ABCF1	0.100400	0.100400	0.672311
ABCF1	FGF3	0.061900	0.061900	0.948304
ABCF1	FOXB1	0.082100	0.082100	0.993910
GAL	ABCF1	0.122000	0.122000	0.990164
ABCF1	GNAL	0.092300	0.092300	0.990249
ABCF1	GSK3A	0.082200	0.082200	0.979319
ABCF1	HADH	0.068700	0.068700	1.000000
ABCF1	ILKAP	0.122500	0.122500	0.991837
ABCF1	ITPR3	0.313500	0.313500	0.875917
KCNN4	ABCF1	0.199300	0.199300	0.658304
KIAA1949	ABCF1	0.401300	0.401300	0.521306
ABCF1	KRTAP4-1	0.105500	0.105500	0.766825
ABCF1	LOC642031	0.212900	0.212900	0.924378
LPIN1	ABCF1	0.129700	0.129700	0.561295
LRRC8C	ABCF1	0.082600	0.082600	0.725182
ABCF1	MAP2K2	0.056300	0.056300	0.937833
ABCF1	MAPK13	0.056300	0.056300	0.996448
ABCF1	MAPK14	0.154700	0.154700	0.968972
ABCF1	MREG	0.052300	0.052300	0.913958
MSN	ABCF1	0.148000	0.148000	0.714865
MTAP	ABCF1	0.064800	0.064800	0.537037
ABCF1	MYO10	0.077600	0.077600	0.637887
ABCF1	NEDD4	0.061000	0.061000	0.909836
ABCF1	NFIB	0.064400	0.064400	0.858696
ABCF1	NOTCH1	0.174300	0.174300	0.577166
ABCF1	NRIP1	0.208700	0.208700	0.752755
ABCF1	NUDT6	0.333000	0.333000	0.973574
ODC1	ABCF1	0.355200	0.355200	0.712556
ABCF1	PHOX2A	0.090400	0.090400	0.966814
ABCF1	PIK3CB	0.051000	0.051000	0.998039
PLK1	ABCF1	0.911200	0.911200	0.652766
ABCF1	PNPLA3	0.121000	0.121000	0.983471
ABCF1	PPIB	0.064400	0.064400	0.993789
ABCF1	PPP1R11	0.356600	0.356600	0.986259
PRKX	ABCF1	0.157200	0.157200	0.901399
ABCF1	PSORS1C2	0.060400	0.060400	0.988411
ABCF1	PTK7	0.911300	0.911300	0.954680
ABCF1	RAVER1	0.061300	0.061300	0.936378
ABCF1	RB1	0.120300	0.120300	0.844555
ABCF1	RHBDL1	0.050000	0.050000	0.980000
ABCF1	RNASE4	0.152800	0.152800	0.973168
ABCF1	RNF5	0.203300	0.203300	0.977373
ABCF1	RPS14	0.068700	0.068700	0.851528
RRP1	ABCF1	0.370000	0.370000	0.845946
ABCF1	RXRB	0.114800	0.114800	0.838850
ABCF1	SF3A2	0.092400	0.092400	0.579004
ABCF1	SFN	0.054800	0.054800	0.766423
ABCF1	SH3GL1	0.198900	0.198900	0.942182
ABCF1	SMO	0.077800	0.077800	0.859897
ABCF1	SOS2	0.180600	0.180600	0.980620
ABCF1	STAM2	0.164500	0.164500	0.918541
ABCF1	STAT3	0.064100	0.064100	0.954758
ABCF1	SULF1	0.060100	0.060100	0.991681
ABCF1	SUMF1	0.120800	0.120800	0.931291
ABCF1	TAGLN2	0.129300	0.129300	0.507347
TCEAL1	ABCF1	0.186000	0.186000	0.819892
TCF7L1	ABCF1	0.581000	0.581000	0.585542
ABCF1	TCOF1	0.155200	0.155200	0.910438
TEX10	ABCF1	0.182300	0.182300	0.585848
TK2	ABCF1	0.105700	0.105700	0.614002
TMEM158	ABCF1	0.065800	0.065800	0.937690
TMEM39B	ABCF1	0.052800	0.052800	0.657197
ABCF1	TMSB10	0.058700	0.058700	0.994889
TP53	ABCF1	0.322400	0.322400	0.568238
ABCF1	TUBB2C	0.107400	0.107400	0.988827
UBE2C	ABCF1	0.279400	0.279400	0.840730
ABCF1	UBE2I	0.109700	0.109700	0.978122
VAV3	ABCF1	0.124200	0.124200	0.859903
ABCF1	VPS37B	0.069300	0.069300	0.976912
YWHAQ	ABCF1	0.059100	0.059100	0.668359
ADAM15	ABLIM1	0.159700	0.159700	0.748904
ANKDD1A	ABLIM1	0.058000	0.058000	0.587931
ANTXR2	ABLIM1	0.109700	0.109700	0.958979
APC2	ABLIM1	0.199400	0.199400	0.985456
ABLIM1	AQP3	0.101500	0.101500	0.556650
ABLIM1	BLNK	0.212500	0.212500	0.584471
CALML5	ABLIM1	0.084600	0.084600	0.749409
ABLIM1	CASP2	0.135300	0.135300	0.647450
CD79A	ABLIM1	0.072600	0.072600	0.998623
CDC42	ABLIM1	0.070900	0.070900	0.974612
CDK6	ABLIM1	0.058200	0.058200	0.941581
CEACAM1	ABLIM1	0.234200	0.234200	0.580700
CHAC1	ABLIM1	0.067700	0.067700	0.757755
CLDN5	ABLIM1	0.059100	0.059100	0.939086
COL13A1	ABLIM1	0.217100	0.217100	0.584984
CRCT1	ABLIM1	0.141300	0.141300	0.881104
CRLF3	ABLIM1	0.404900	0.404900	0.850086
CXCL1	ABLIM1	0.191000	0.191000	0.848691
CYB5R3	ABLIM1	0.146000	0.146000	0.665068
DAB2	ABLIM1	0.101800	0.101800	0.986248
DNM2	ABLIM1	0.184200	0.184200	0.813246
DNM3	ABLIM1	0.051800	0.051800	0.936293
ABLIM1	DOCK9	0.053600	0.053600	0.835821
DUSP4	ABLIM1	0.451500	0.451500	0.875083
DUSP6	ABLIM1	0.130500	0.130500	0.724904
EMP1	ABLIM1	0.054600	0.054600	0.756410
ABLIM1	EPHB4	0.153100	0.153100	0.770738
ABLIM1	EPHB6	0.064300	0.064300	0.576983
ERBB2	ABLIM1	0.190700	0.190700	0.531201
FA2H	ABLIM1	0.121100	0.121100	0.887696
ABLIM1	FAM129B	0.426200	0.426200	0.580713
ABLIM1	FAM46B	0.057300	0.057300	0.745201
FLJ35390	ABLIM1	0.066800	0.066800	0.992515
ABLIM1	FOXO3	0.080400	0.080400	0.523632
ABLIM1	FUT1	0.087000	0.087000	0.513793
ABLIM1	FZD4	0.119300	0.119300	0.596815
ABLIM1	GNB1L	0.075100	0.075100	0.833555
ABLIM1	GNB2	0.053400	0.053400	0.848315
GNG12	ABLIM1	0.165600	0.165600	0.578502
GRB7	ABLIM1	0.203200	0.203200	0.595965
ABLIM1	GRIN2D	0.122100	0.122100	0.700246
HAS3	ABLIM1	0.320400	0.320400	0.997815
HDAC11	ABLIM1	0.280200	0.280200	0.532834
ABLIM1	HNF1A	0.091200	0.091200	0.752193
ABLIM1	HOPX	0.053800	0.053800	0.689591
INF2	ABLIM1	0.157600	0.157600	0.811548
ITGB7	ABLIM1	0.058700	0.058700	0.998296
ABLIM1	JHDM1D	0.387000	0.387000	0.736176
KLF4	ABLIM1	0.060900	0.060900	0.784893
KRT75	ABLIM1	0.062400	0.062400	0.979167
LPXN	ABLIM1	0.137000	0.137000	0.992701
