Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down
TFAP2B	ASCL1	0.087900	0.087900	0.000000	0.574516	3	unknown
TFAP2B	ANKRD30A	0.323400	0.323400	0.000000	0.823438	3	unknown
ZNF238	TFAP2B	0.161300	0.161300	0.000000	0.606944	3	unknown
PEG3	TFAP2B	0.064300	0.064300	0.000000	0.583204	3	unknown
IRX1	TFAP2B	0.068900	0.068900	0.000000	0.521045	3	unknown
SLC26A3	TFAP2B	0.374000	0.374000	0.000000	0.510428	3	unknown
NFIB	TFAP2B	0.086600	0.086600	0.000000	0.669746	3	unknown
KLF5	TFAP2B	0.233500	0.233500	0.000000	0.708779	3	unknown
ESR1	TFAP2B	0.183600	0.183600	0.000000	0.764161	3	unknown
TFAP2B	ZFP36L1	0.152800	0.152800	0.000000	0.618455	3	unknown
TCF7L2	TFAP2B	0.191500	0.191500	0.000000	0.902872	3	unknown
BHLHE41	TFAP2B	0.167300	0.167300	0.000000	0.838016	3	unknown
RUNX1T1	TFAP2B	0.252900	0.252900	0.000000	0.989719	3	unknown
RCAN1	TFAP2B	0.511800	0.511800	0.000000	0.595936	3	unknown
SMAD9	TFAP2B	0.059300	0.059300	0.000000	0.964587	3	unknown
MYT1	TFAP2B	0.055800	0.055800	0.000000	0.668459	3	unknown
TFAP2B	THRB	0.344600	0.344600	0.000000	0.512768	3	unknown
CSDA	TFAP2B	0.333600	0.333600	0.000000	0.723621	3	unknown
NFIA	TFAP2B	0.268400	0.268400	0.000000	0.735469	3	unknown
MEIS1	TFAP2B	0.318800	0.318800	0.000000	0.753764	3	unknown
ZEB1	TFAP2B	0.052400	0.052400	0.000000	0.996183	3	unknown
TFAP2B	MYCL1	0.065700	0.065700	0.000000	0.774734	3	unknown
KLF12	TFAP2B	0.369300	0.369300	0.000000	0.913350	3	unknown
TFAP2B	NFYA	0.326600	0.326600	0.000000	0.934476	3	unknown
EPAS1	TFAP2B	0.232600	0.232600	0.000000	0.702064	3	unknown
BACH1	TFAP2B	0.137600	0.137600	0.000000	0.743459	3	unknown
TFAP2B	TCF3	0.122400	0.122400	0.000000	0.750817	3	unknown
TFAM	TFAP2B	0.235700	0.235700	0.000000	0.997879	3	unknown
FOXO1	TFAP2B	0.060300	0.060300	0.000000	0.985075	3	unknown
JDP2	TFAP2B	0.118000	0.118000	0.000000	0.596610	3	unknown
ZFHX4	TFAP2B	0.078200	0.078200	0.000000	0.987212	3	unknown
CREB3L2	TFAP2B	0.206100	0.206100	0.000000	0.854440	3	unknown
TFAP2B	TSC22D3	0.232200	0.232200	0.000000	0.618432	3	unknown
MKX	PGR	0.062600	0.062600	0.000000	0.832268	3	unknown
NFIX	PGR	0.267100	0.267100	0.000000	0.909772	3	unknown
EGR3	PGR	0.490400	0.490400	0.000000	0.660481	3	unknown
ATF3	PGR	0.119500	0.119500	0.000000	0.970711	3	unknown
ESR1	PGR	0.054900	0.054900	0.000000	0.930783	3	unknown
HHEX	PGR	0.383800	0.383800	0.000000	0.687858	3	unknown
E2F8	PGR	0.076700	0.076700	0.000000	0.972621	3	unknown
TCF7L2	PGR	0.096700	0.096700	0.000000	0.989659	3	unknown
SIX4	PGR	0.075300	0.075300	0.000000	0.840637	3	unknown
TFCP2L1	PGR	0.089200	0.089200	0.000000	0.978700	3	unknown
PAX7	PGR	0.089300	0.089300	0.000000	0.839866	3	unknown
TCEAL1	PGR	0.202800	0.202800	0.000000	0.984221	3	unknown
CBFA2T3	PGR	0.053900	0.053900	0.000000	0.768089	3	unknown
TCF7L1	PGR	0.110800	0.110800	0.000000	0.694043	3	unknown
PGR	RCAN1	0.084900	0.084900	0.000000	0.685512	3	unknown
MEIS3P1	PGR	0.122700	0.122700	0.000000	0.770986	3	unknown
LASS6	PGR	0.087300	0.087300	0.000000	0.986254	3	unknown
FOSL2	PGR	0.428600	0.428600	0.000000	0.771582	3	unknown
MYCN	PGR	0.053700	0.053700	0.000000	0.681564	3	unknown
ONECUT2	PGR	0.271300	0.271300	0.000000	0.624401	3	unknown
ZHX1	PGR	0.245700	0.245700	0.000000	0.799756	3	unknown
RUNX1	PGR	0.095700	0.095700	0.000000	0.734587	3	unknown
HIF1A	PGR	0.077500	0.077500	0.000000	0.803871	3	unknown
SOX7	PGR	0.056500	0.056500	0.000000	0.976991	3	unknown
GRHL3	PGR	0.053300	0.053300	0.000000	0.645403	3	unknown
HOXD4	PGR	0.149800	0.149800	0.000000	0.989987	3	unknown
KLF10	PGR	0.058300	0.058300	0.000000	0.958834	3	unknown
KLF3	PGR	0.079100	0.079100	0.000000	0.840708	3	unknown
NFE2L1	PGR	0.097800	0.097800	0.000000	0.992843	3	unknown
ASCL1	EHF	0.189700	0.189700	0.000000	0.909858	3	unknown
WNT5A	ASCL1	0.088500	0.088500	0.000000	0.744633	3	unknown
ZIC2	ASCL1	0.067100	0.067100	0.000000	0.663189	3	unknown
