Parent	Child	BS.Prob	edgeScore	BS.Direction
ABCF1	ACAT2	0.085200	0.085200	0.928404
ABCF1	ACTN4	0.127800	0.127800	0.665884
ABCF1	CABC1	0.057100	0.057100	0.984238
ABCF1	CALML5	0.087200	0.087200	0.975917
CCNB2	ABCF1	0.089700	0.089700	0.949833
ABCF1	CDC42	0.163200	0.163200	0.999387
ABCF1	CDC42EP1	0.296800	0.296800	0.818396
ABCF1	CENPF	0.357400	0.357400	0.981533
CTPS	ABCF1	0.708400	0.708400	0.952851
DAZAP2	ABCF1	0.148000	0.148000	0.793243
DDX21	ABCF1	0.204900	0.204900	0.615422
ABCF1	DUSP4	0.224900	0.224900	0.814140
ABCF1	DUSP6	0.282700	0.282700	0.972409
ABCF1	DUSP9	0.086600	0.086600	0.966513
E2F3	ABCF1	0.626500	0.626500	0.908699
ABCF1	EIF2C2	0.296500	0.296500	0.618212
FERMT1	ABCF1	0.116800	0.116800	0.858733
ABCF1	FGFBP1	0.482200	0.482200	0.805890
ABCF1	GAD1	0.080900	0.080900	0.983931
ABCF1	GDF15	0.099600	0.099600	0.804217
ABCF1	HGS	0.274500	0.274500	0.945355
ABCF1	IQSEC2	0.086700	0.086700	0.958478
ABCF1	ITPR1	0.060000	0.060000	0.890000
ABCF1	ITPR3	0.163700	0.163700	0.731827
KIAA0020	ABCF1	0.081100	0.081100	0.872996
MAP3K1	ABCF1	0.147600	0.147600	0.856369
ABCF1	MAPK13	0.163000	0.163000	0.833742
ABCF1	MKNK2	0.441500	0.441500	0.603851
MLPH	ABCF1	0.121100	0.121100	0.997523
ABCF1	MUC2	0.058900	0.058900	0.994907
ABCF1	MYL5	0.055300	0.055300	0.980108
ABCF1	NFKBIE	0.086900	0.086900	0.733026
ABCF1	NOS3	0.080000	0.080000	1.000000
NRIP1	ABCF1	0.397700	0.397700	0.913754
ABCF1	NXT1	0.131200	0.131200	0.957317
ABCF1	PCSK1N	0.502700	0.502700	0.940919
ABCF1	PIK3R1	0.106700	0.106700	0.932521
PLK1	ABCF1	0.272100	0.272100	0.779493
ABCF1	PPP1R11	0.114900	0.114900	0.501305
PRKX	ABCF1	0.418100	0.418100	0.532648
ABCF1	PRSS3	0.060600	0.060600	0.912541
PTK7	ABCF1	0.143000	0.143000	0.842657
RHOB	ABCF1	0.157200	0.157200	0.990458
RNASE4	ABCF1	0.428600	0.428600	0.550397
SLC16A6	ABCF1	0.210600	0.210600	0.878917
ABCF1	SLC29A1	0.050600	0.050600	0.885375
SPDEF	ABCF1	0.182100	0.182100	0.998353
ABCF1	SPINK1	0.090700	0.090700	0.963616
TCEAL1	ABCF1	0.066200	0.066200	0.906344
TCF7L1	ABCF1	0.197400	0.197400	0.978723
TEX10	ABCF1	0.174500	0.174500	0.876218
TFF1	ABCF1	0.061000	0.061000	0.991803
ABCF1	TFPI2	0.075300	0.075300	0.990704
TMEM158	ABCF1	0.111300	0.111300	0.731357
ABCF1	TNF	0.365900	0.365900	0.770156
ABCF1	VANGL1	0.058100	0.058100	0.841652
ABCF1	ZNF365	0.059300	0.059300	0.986509
ABLIM1	AQP3	0.641800	0.641800	0.721876
ARHGEF2	ABLIM1	0.347900	0.347900	0.955734
ATF4	ABLIM1	0.121800	0.121800	0.678161
CAV1	ABLIM1	0.057800	0.057800	1.000000
CCND1	ABLIM1	0.121300	0.121300	0.948063
CD79A	ABLIM1	0.550400	0.550400	0.997275
ABLIM1	CDCP1	0.344300	0.344300	0.994191
CYB5R3	ABLIM1	0.122800	0.122800	0.944625
DNAJA1	ABLIM1	0.157500	0.157500	0.772063
EIF4E	ABLIM1	0.186400	0.186400	0.988734
EMP1	ABLIM1	0.169400	0.169400	0.902007
ABLIM1	ENO2	0.208700	0.208700	0.560613
GNG10	ABLIM1	0.404600	0.404600	0.991349
GNG12	ABLIM1	0.818900	0.818900	0.876664
HPS6	ABLIM1	0.199100	0.199100	0.942742
HSPB1	ABLIM1	0.055900	0.055900	1.000000
ICAM2	ABLIM1	0.183400	0.183400	0.965649
IMPA1	ABLIM1	0.062200	0.062200	0.620579
KCNN4	ABLIM1	0.167200	0.167200	0.936005
ABLIM1	LSM1	0.077400	0.077400	0.766150
LTB	ABLIM1	0.189900	0.189900	1.000000
MAL	ABLIM1	0.209500	0.209500	0.866348
ABLIM1	MAP2K1	0.175200	0.175200	0.993721
MYLK	ABLIM1	0.081900	0.081900	0.996337
NNMT	ABLIM1	0.128600	0.128600	0.976672
ABLIM1	NUPR1	0.249500	0.249500	0.843687
ABLIM1	OGFR	0.135200	0.135200	0.877219
PDE2A	ABLIM1	0.061700	0.061700	1.000000
ABLIM1	PIK3C2B	0.103400	0.103400	0.786267
ABLIM1	PIK3R1	0.228400	0.228400	0.795972
PPAP2A	ABLIM1	0.060500	0.060500	1.000000
PRKCSH	ABLIM1	0.236000	0.236000	0.978814
RHOA	ABLIM1	0.089900	0.089900	0.933259
RND3	ABLIM1	0.083800	0.083800	0.972554
ABLIM1	RPS16	0.327300	0.327300	0.655973
RPS6KA2	ABLIM1	0.240600	0.240600	0.743142
RPS6KB1	ABLIM1	0.129400	0.129400	0.938949
RRAS	ABLIM1	0.077100	0.077100	0.555123
SLMO2	ABLIM1	0.069200	0.069200	0.972543
SLPI	ABLIM1	0.056000	0.056000	0.957143
SOX18	ABLIM1	0.062000	0.062000	0.614516
SPAG5	ABLIM1	0.068100	0.068100	0.936858
SYNPO	ABLIM1	0.128400	0.128400	0.933801
TAF9	ABLIM1	0.061000	0.061000	0.986885
TUBA4A	ABLIM1	0.459500	0.459500	0.709902
UBE2E3	ABLIM1	0.051300	0.051300	0.992203
UPP1	ABLIM1	0.153300	0.153300	0.986301
VEGFA	ABLIM1	0.083800	0.083800	0.880668
ABLIM1	VTCN1	0.164600	0.164600	0.704739
ACAT2	ADAMTS7	0.050200	0.050200	0.984064
BBS1	ACAT2	0.057300	0.057300	0.989529
CCNB1	ACAT2	0.114200	0.114200	0.979860
CCNB2	ACAT2	0.344800	0.344800	0.995650
CCNE1	ACAT2	0.187500	0.187500	0.991467
ACAT2	CREBBP	0.102400	0.102400	0.969727
DHCR7	ACAT2	0.548700	0.548700	0.868234
DNM1L	ACAT2	0.196800	0.196800	0.940549
E2F1	ACAT2	0.246300	0.246300	0.608607
EBP	ACAT2	0.324400	0.324400	0.701911
EZR	ACAT2	0.070000	0.070000	0.810000
FADS2	ACAT2	0.251600	0.251600	0.633148
FAM136A	ACAT2	0.254600	0.254600	0.963472
GAPDH	ACAT2	0.206900	0.206900	0.971967
GRPEL1	ACAT2	0.051900	0.051900	0.707129
HDAC2	ACAT2	0.196800	0.196800	0.926829
ACAT2	HK2	0.083900	0.083900	0.902265
ACAT2	HMGCS1	0.193000	0.193000	0.949223
ACAT2	HSP90AA1	0.176300	0.176300	0.707884
IDI1	ACAT2	0.295200	0.295200	0.827913
ACAT2	JMJD6	0.068800	0.068800	0.976744
LIG1	ACAT2	0.174900	0.174900	0.767867
ACAT2	MYCN	0.050100	0.050100	0.982036
ACAT2	NFKBIB	0.387800	0.387800	0.833419
ACAT2	NMU	0.099900	0.099900	0.612613
ACAT2	PCSK1N	0.051500	0.051500	0.774757
PHGDH	ACAT2	0.166000	0.166000	0.946988
PKM2	ACAT2	0.073500	0.073500	0.549660
PLK1	ACAT2	0.100600	0.100600	0.900596
PTPRE	ACAT2	0.050000	0.050000	0.986000
ACAT2	SLC20A1	0.062900	0.062900	0.780604
ACAT2	SOCS1	0.201400	0.201400	0.932473
SPAG5	ACAT2	0.139100	0.139100	0.912293
ACAT2	SQLE	0.052600	0.052600	0.644487
TARS	ACAT2	0.451900	0.451900	0.801505
ACAT2	TNFRSF11A	0.160000	0.160000	0.996250
TUBA1B	ACAT2	0.116100	0.116100	0.894918
TUBB2C	ACAT2	0.475500	0.475500	0.927655
ACTA2	ACTC1	0.234000	0.234000	1.000000
ACTA2	ACTN1	0.056100	0.056100	0.819964
ACTA2	ACTN4	0.105200	0.105200	0.999049
ACTA2	ADAM12	0.211900	0.211900	0.700802
ACTA2	AKAP12	0.338400	0.338400	0.893322
ACTA2	AKT3	0.166700	0.166700	0.997600
ACTA2	ANXA2	0.189600	0.189600	1.000000
ACTA2	CAMKK2	0.063700	0.063700	0.996860
ACTA2	CAV1	0.531900	0.531900	0.695243
ACTA2	CDH11	0.923800	0.923800	0.553800
ACTA2	CEBPE	0.053200	0.053200	1.000000
ACTA2	CHSY1	0.111300	0.111300	0.999102
ACTA2	COL13A1	0.057400	0.057400	1.000000
ACTA2	CTGF	0.348700	0.348700	0.529108
ACTA2	CYR61	0.102800	0.102800	0.972763
ACTA2	DAB2	0.094500	0.094500	0.830688
ACTA2	E2F4	0.088800	0.088800	0.994369
ACTA2	EDNRA	0.051000	0.051000	0.998039
ACTA2	EFEMP1	0.182000	0.182000	0.992857
ACTA2	EFEMP2	0.117700	0.117700	0.858114
ELK3	ACTA2	0.096400	0.096400	0.552905
ACTA2	EMP1	0.233500	0.233500	0.998715
ACTA2	FGF1	0.695300	0.695300	0.983173
ACTA2	FGF7	0.116200	0.116200	0.981928
