Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down	BS.EdgeTypeRatio
ABCF1	ARHGEF2	0.639000	0.639000	0.000000	0.621283	3	unknown	-nan/-nan/-nan
ABCF1	ARHGEF4	0.107900	0.107900	0.000000	0.921223	3	unknown	-nan/-nan/-nan
ABCF1	ATF4	0.087200	0.087200	0.000000	0.819954	3	unknown	-nan/-nan/-nan
CASC4	ABCF1	0.115400	0.115400	0.000000	0.672444	3	unknown	-nan/-nan/-nan
ABCF1	CASP6	0.054100	0.054100	0.000000	0.887246	3	unknown	-nan/-nan/-nan
ABCF1	CCNB2	0.131900	0.131900	0.000000	0.742229	3	unknown	-nan/-nan/-nan
CCNE1	ABCF1	0.282400	0.282400	0.000000	0.872167	3	unknown	-nan/-nan/-nan
ABCF1	CHI3L1	0.149100	0.149100	0.000000	0.967136	3	unknown	-nan/-nan/-nan
CHST3	ABCF1	0.109000	0.109000	0.000000	0.697248	3	unknown	-nan/-nan/-nan
ABCF1	CKB	0.053000	0.053000	0.000000	0.907547	3	unknown	-nan/-nan/-nan
ABCF1	CTPS	0.214900	0.214900	0.000000	0.607259	3	unknown	-nan/-nan/-nan
ABCF1	DUSP1	0.051700	0.051700	0.000000	0.793037	3	unknown	-nan/-nan/-nan
ABCF1	E2F2	0.053200	0.053200	0.000000	0.887218	3	unknown	-nan/-nan/-nan
ABCF1	ENO1	0.215700	0.215700	0.000000	0.521094	3	unknown	-nan/-nan/-nan
ABCF1	FOS	0.167000	0.167000	0.000000	0.526347	3	unknown	-nan/-nan/-nan
ABCF1	GLI3	0.111100	0.111100	0.000000	0.985599	3	unknown	-nan/-nan/-nan
GSK3A	ABCF1	0.073600	0.073600	0.000000	0.737772	3	unknown	-nan/-nan/-nan
ABCF1	ITCH	0.052100	0.052100	0.000000	0.988484	3	unknown	-nan/-nan/-nan
ABCF1	ITPR1	0.086300	0.086300	0.000000	0.750869	3	unknown	-nan/-nan/-nan
ABCF1	ITPR3	0.349500	0.349500	0.000000	0.738484	3	unknown	-nan/-nan/-nan
ABCF1	KCNN4	0.095900	0.095900	0.000000	0.698644	3	unknown	-nan/-nan/-nan
ABCF1	KIAA1949	0.137100	0.137100	0.000000	0.582786	3	unknown	-nan/-nan/-nan
ABCF1	MAP3K1	0.076200	0.076200	0.000000	0.986877	3	unknown	-nan/-nan/-nan
ABCF1	MAPK13	0.052200	0.052200	0.000000	0.975096	3	unknown	-nan/-nan/-nan
MLPH	ABCF1	0.051600	0.051600	0.000000	0.610465	3	unknown	-nan/-nan/-nan
ABCF1	MMP9	0.134300	0.134300	0.000000	0.906925	3	unknown	-nan/-nan/-nan
ABCF1	MYO10	0.080200	0.080200	0.000000	0.839152	3	unknown	-nan/-nan/-nan
ABCF1	NDRG1	0.174200	0.174200	0.000000	0.809414	3	unknown	-nan/-nan/-nan
ABCF1	NFKBIE	0.150600	0.150600	0.000000	0.933599	3	unknown	-nan/-nan/-nan
ABCF1	NRIP1	0.175000	0.175000	0.000000	0.861714	3	unknown	-nan/-nan/-nan
ABCF1	NUDT6	0.087700	0.087700	0.000000	0.996579	3	unknown	-nan/-nan/-nan
PHGDH	ABCF1	0.239500	0.239500	0.000000	0.560752	3	unknown	-nan/-nan/-nan
ABCF1	PPP1R11	0.185700	0.185700	0.000000	0.727518	3	unknown	-nan/-nan/-nan
ABCF1	PSAT1	0.130700	0.130700	0.000000	0.869166	3	unknown	-nan/-nan/-nan
PSORS1C2	ABCF1	0.093600	0.093600	0.000000	0.545940	3	unknown	-nan/-nan/-nan
ABCF1	PYGB	0.056400	0.056400	0.000000	0.875887	3	unknown	-nan/-nan/-nan
ABCF1	RHOG	0.187000	0.187000	0.000000	0.565241	3	unknown	-nan/-nan/-nan
ABCF1	RNASE4	0.085600	0.085600	0.000000	0.938084	3	unknown	-nan/-nan/-nan
ABCF1	RNF5	0.762000	0.762000	0.000000	0.830184	3	unknown	-nan/-nan/-nan
ABCF1	RPS6KA1	0.062000	0.062000	0.000000	0.930645	3	unknown	-nan/-nan/-nan
ABCF1	RTN3	0.075600	0.075600	0.000000	0.973545	3	unknown	-nan/-nan/-nan
ABCF1	SCARB1	0.163800	0.163800	0.000000	0.848596	3	unknown	-nan/-nan/-nan
ABCF1	SLC16A6	0.059900	0.059900	0.000000	0.552588	3	unknown	-nan/-nan/-nan
SMAD5	ABCF1	0.120300	0.120300	0.000000	0.676642	3	unknown	-nan/-nan/-nan
TCEAL1	ABCF1	0.259200	0.259200	0.000000	0.503086	3	unknown	-nan/-nan/-nan
TCF7L1	ABCF1	0.248200	0.248200	0.000000	0.699033	3	unknown	-nan/-nan/-nan
ABCF1	THRB	0.101300	0.101300	0.000000	0.872655	3	unknown	-nan/-nan/-nan
ABCF1	TMEM39B	0.051100	0.051100	0.000000	0.892368	3	unknown	-nan/-nan/-nan
ABCF1	TSPO	0.079800	0.079800	0.000000	0.641604	3	unknown	-nan/-nan/-nan
