Parent	Child	relationType	edgeScore	Freq
TSPAN8	C5orf17	Type 0	0.459320	0.459320
EAF2	C5orf17	Type 0	0.686209	0.686209
PPP1R3A	C5orf17	Type 0	0.297119	0.297119
C5orf17	EAF2	Type 0	0.313791	0.313791
C5orf17	PPP1R3A	Type 0	0.242497	0.242497
HEPACAM2	GPR85	Type 0	0.331205	0.331205
NCRNA00265	GPR85	Type 0	0.296628	0.296628
NLRP11	GPR85	Type 0	0.506278	0.506278
MYO18B	GPR85	Type 0	0.693664	0.693664
CCDC54	GPR85	Type 0	0.501104	0.501104
ZNF354C	GPR85	Type 0	0.441797	0.441797
SPINLW1	GPR85	Type 0	0.267974	0.267974
PPAPDC3	GPR85	Type 0	0.205337	0.205337
GPR85	MGC24125	Type 0	0.691181	0.691181
GPR85	NLRP11	Type 0	0.249089	0.249089
GPR85	CCDC54	Type 0	0.498896	0.498896
GPR85	ZNF354C	Type 0	0.224609	0.224609
GPR85	SPINLW1	Type 0	0.506944	0.506944
GYPA	NR0B1	Type 0	0.893222	0.893222
LOC100127950	NR0B1	Type 0	0.324350	0.324350
OR5J2	NR0B1	Type 0	0.275753	0.275753
SLC4A7	NR0B1	Type 0	0.333763	0.333763
TEF	NR0B1	Type 0	0.258427	0.258427
ITGA7	NR0B1	Type 0	0.408656	0.408656
FOXD3	NR0B1	Type 0	0.248731	0.248731
NR0B1	LOC100127950	Type 0	0.675650	0.675650
NR0B1	BRSK2	Type 0	0.269360	0.269360
NR0B1	LOC100329135	Type 0	0.227425	0.227425
TMEM84	MGC39545	Type 0	0.280159	0.280159
CDH7	MGC39545	Type 0	0.203483	0.203483
MGC39545	CDH7	Type 0	0.224565	0.224565
FCGR3B///FCGR3A	LAIR1	Type 0	0.212516	0.212516
LILRB1	LAIR1	Type 0	0.814973	0.814973
SLCO2B1	LAIR1	Type 0	0.401647	0.401647
LAIR1	PTPN22	Type 0	0.534981	0.534981
LAIR1	TLR8	Type 0	0.995421	0.995421
LAIR1	RENBP	Type 0	0.300626	0.300626
LAIR1	FCGR3B///FCGR3A	Type 0	0.249457	0.249457
LAIR1	LOC152274	Type 0	0.412958	0.412958
LAIR1	SLCO2B1	Type 0	0.414609	0.414609
LAIR1	CD84	Type 0	0.242967	0.242967
FAM150B	NUDT9P1	Type 0	0.216156	0.216156
ERBB2	NUDT9P1	Type 0	0.372776	0.372776
ALOX15B	NUDT9P1	Type 0	0.300153	0.300153
TEX15	NUDT9P1	Type 0	0.255362	0.255362
C17orf28	NUDT9P1	Type 0	0.797556	0.797556
IFNA4	NUDT9P1	Type 0	0.261905	0.261905
ALAS2	NUDT9P1	Type 0	0.610098	0.610098
NUDT9P1	GOLGA6A	Type 0	0.942197	0.942197
NUDT9P1	SH3GL1P3	Type 0	0.297584	0.297584
NUDT9P1	SAMD14	Type 0	0.235641	0.235641
NUDT9P1	ALAS2	Type 0	0.389902	0.389902
NUDT9P1	ZNF517	Type 0	0.838134	0.838134
LOC401074	TDH	Type 0	0.547027	0.547027
B3GNT5	TDH	Type 0	0.231821	0.231821
TNFSF11	GLRA1	Type 0	0.286392	0.286392
F11	GLRA1	Type 0	0.217754	0.217754
RAB6B	GLRA1	Type 0	0.243520	0.243520
RHOA	GLRA1	Type 0	0.474991	0.474991
MCF2L	GLRA1	Type 0	0.928100	0.928100
