Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down
GATA3	ELF5	0.112700	0.112700	0.000000	0.974268	3	unknown
ZIC1	ELF5	0.141300	0.141300	0.000000	0.983015	3	unknown
PEG3	ELF5	0.407100	0.407100	0.000000	0.501351	3	unknown
EHF	ELF5	0.662700	0.662700	0.000000	0.607515	3	unknown
IRX1	ELF5	0.714700	0.714700	0.000000	0.516860	3	unknown
FOXC1	ELF5	0.227700	0.227700	0.000000	0.834870	3	unknown
KLF5	ELF5	0.337100	0.337100	0.000000	0.748739	3	unknown
TRIM29	ELF5	0.215300	0.215300	0.000000	0.600557	3	unknown
SOX9	ELF5	0.307700	0.307700	0.000000	0.841729	3	unknown
ELF5	TFCP2L1	0.162700	0.162700	0.000000	0.686540	3	unknown
TFAP2C	ELF5	0.160900	0.160900	0.000000	0.765071	3	unknown
SOX10	ELF5	0.261800	0.261800	0.000000	0.805195	3	unknown
ELF5	WNT5A	0.150500	0.150500	0.000000	0.798671	3	unknown
SOX8	ELF5	0.085100	0.085100	0.000000	0.649824	3	unknown
TWIST1	ELF5	0.267800	0.267800	0.000000	0.888350	3	unknown
ELF5	MYC	0.652700	0.652700	0.000000	0.887084	3	unknown
ETV6	ELF5	0.337700	0.337700	0.000000	0.801895	3	unknown
ZFHX3	ELF5	0.290800	0.290800	0.000000	0.721114	3	unknown
ELF5	LEF1	0.075000	0.075000	0.000000	0.980000	3	unknown
ELF5	ZNF33B	0.053700	0.053700	0.000000	0.823091	3	unknown
ELF5	RARB	0.171700	0.171700	0.000000	0.587653	3	unknown
RXRA	ELF5	0.143900	0.143900	0.000000	0.640028	3	unknown
ESR1	ANKRD30A	0.528100	0.528100	0.000000	0.676198	3	unknown
ESR1	PGR	0.832200	0.832200	0.000000	0.648522	3	unknown
ESR1	GATA3	0.658200	0.658200	0.000000	0.645700	3	unknown
ESR1	ZIC1	0.510000	0.510000	0.000000	0.673137	3	unknown
ESR1	FOXC1	0.298200	0.298200	0.000000	0.914822	3	unknown
ESR1	TP63	0.179700	0.179700	0.000000	0.996105	3	unknown
ESR1	FOXA1	0.897000	0.897000	0.000000	0.733891	3	unknown
ESR1	TBX3	0.054800	0.054800	0.000000	0.974453	3	unknown
SPDEF	ESR1	0.460600	0.460600	0.000000	0.523448	3	unknown
ESR1	XBP1	0.655700	0.655700	0.000000	0.556962	3	unknown
ESR1	THRB	0.122000	0.122000	0.000000	0.868852	3	unknown
ESR1	RUNX3	0.058900	0.058900	0.000000	0.989813	3	unknown
ESR1	L3MBTL4	0.084900	0.084900	0.000000	0.917550	3	unknown
ESR1	IRX5	0.051100	0.051100	0.000000	0.939335	3	unknown
ESR1	CREB3L4	0.079300	0.079300	0.000000	0.836066	3	unknown
ESR1	ARNTL2	0.359700	0.359700	0.000000	0.654990	3	unknown
ESR1	PBX1	0.050600	0.050600	0.000000	0.608696	3	unknown
ESR1	ETV6	0.065900	0.065900	0.000000	0.962064	3	unknown
ESR1	BTG2	0.081800	0.081800	0.000000	0.918093	3	unknown
ESR1	E2F3	0.540800	0.540800	0.000000	0.790680	3	unknown
ESR1	CBFA2T3	0.133400	0.133400	0.000000	0.988006	3	unknown
ESR1	PLSCR1	0.475500	0.475500	0.000000	0.758991	3	unknown
ESR1	SALL2	0.087700	0.087700	0.000000	0.868871	3	unknown
ESR1	YBX1	0.318300	0.318300	0.000000	0.776940	3	unknown
ESR1	TCEAL1	0.583100	0.583100	0.000000	0.819413	3	unknown
ESR1	AR	0.092800	0.092800	0.000000	0.728448	3	unknown
ESR1	ZKSCAN1	0.276900	0.276900	0.000000	0.991694	3	unknown
ESR1	SMAD3	0.061900	0.061900	0.000000	0.967690	3	unknown
ESR1	GTF2IRD1	0.068200	0.068200	0.000000	0.973607	3	unknown
ESR1	ZSCAN5A	0.050300	0.050300	0.000000	0.920477	3	unknown
ANKRD30A	PGR	0.662100	0.662100	0.000000	0.823290	3	unknown
GATA3	ANKRD30A	0.265500	0.265500	0.000000	0.723164	3	unknown
ANKRD30A	TFAP2B	0.054100	0.054100	0.000000	0.963031	3	unknown
FOXA1	ANKRD30A	0.751400	0.751400	0.000000	0.879159	3	unknown
ANKRD30A	TBX3	0.211500	0.211500	0.000000	0.966430	3	unknown
SPDEF	ANKRD30A	0.192500	0.192500	0.000000	0.713247	3	unknown
XBP1	ANKRD30A	0.175900	0.175900	0.000000	0.542922	3	unknown
ANKRD30A	THRB	0.146800	0.146800	0.000000	0.975477	3	unknown
ZNF91	ANKRD30A	0.067500	0.067500	0.000000	0.780741	3	unknown
ANKRD30A	ASCL2	0.447400	0.447400	0.000000	0.904783	3	unknown
CREB3L4	ANKRD30A	0.052900	0.052900	0.000000	0.969754	3	unknown
ANKRD30A	HES1	0.074800	0.074800	0.000000	0.957219	3	unknown
ANKRD30A	HEY1	0.087600	0.087600	0.000000	0.901826	3	unknown
ANKRD30A	ONECUT2	0.058600	0.058600	0.000000	0.813993	3	unknown
ANKRD30A	PLSCR1	0.129000	0.129000	0.000000	0.513953	3	unknown
ANKRD30A	ZNF92	0.104300	0.104300	0.000000	0.840844	3	unknown
ANKRD30A	SALL2	0.184600	0.184600	0.000000	0.799567	3	unknown
ANKRD30A	NANOG	0.067600	0.067600	0.000000	0.945266	3	unknown
TCEAL1	ANKRD30A	0.064900	0.064900	0.000000	0.536210	3	unknown
CEBPB	ANKRD30A	0.066000	0.066000	0.000000	0.642424	3	unknown
ANKRD30A	KLF2	0.068100	0.068100	0.000000	0.986784	3	unknown
AR	ANKRD30A	0.480000	0.480000	0.000000	0.801667	3	unknown
ANKRD30A	NR5A2	0.078600	0.078600	0.000000	0.983461	3	unknown
PPARA	ANKRD30A	0.071100	0.071100	0.000000	0.873418	3	unknown
ANKRD30A	BATF3	0.052700	0.052700	0.000000	0.882353	3	unknown
ANKRD30A	BRD8	0.099700	0.099700	0.000000	0.761284	3	unknown
ANKRD30A	ZSCAN5A	0.097600	0.097600	0.000000	0.740779	3	unknown
GATA3	PGR	0.352600	0.352600	0.000000	0.555303	3	unknown
PGR	TFAP2B	0.054600	0.054600	0.000000	0.692308	3	unknown
FOXA1	PGR	0.130100	0.130100	0.000000	0.963105	3	unknown
PGR	TBX3	0.107200	0.107200	0.000000	0.528918	3	unknown
SPDEF	PGR	0.135800	0.135800	0.000000	0.794551	3	unknown
PGR	XBP1	0.372300	0.372300	0.000000	0.595488	3	unknown
PGR	CITED1	0.186600	0.186600	0.000000	0.744373	3	unknown
PGR	THRB	0.105300	0.105300	0.000000	0.638177	3	unknown
NFE2L3	PGR	0.054400	0.054400	0.000000	0.704044	3	unknown
ARNTL2	PGR	0.341100	0.341100	0.000000	0.685723	3	unknown
PGR	BTG2	0.096900	0.096900	0.000000	0.868937	3	unknown
PGR	E2F3	0.066500	0.066500	0.000000	0.780451	3	unknown
PGR	CBFA2T3	0.057400	0.057400	0.000000	0.979094	3	unknown
