Parent	Child	relationType	edgeScore	Freq
ABLIM3	BTC	Type 0	0.420632	0.420632
SCN1A	RPL7P12///RPL7P24///RPL7P20///RPL7P26///RPL7P23///RPL7P8///RPL7P48///RPL7	Type 0	0.301828	0.301828
LAIR1	RPL7P12///RPL7P24///RPL7P20///RPL7P26///RPL7P23///RPL7P8///RPL7P48///RPL7	Type 0	0.300691	0.300691
DCAKD	KCNK2	Type 0	0.472208	0.472208
NMBR	KCNK2	Type 0	0.296552	0.296552
ACVR1B	KCNK2	Type 0	0.215042	0.215042
KCNK2	DCAKD	Type 0	0.527792	0.527792
CCDC53	IGLJ3///ARFRP1	Type 0	0.323180	0.323180
IGLJ3///ARFRP1	RPL21P64///EEF1DP5	Type 0	0.282152	0.282152
GALNT7	SLC39A2	Type 0	0.381070	0.381070
STAM2	SLC39A2	Type 0	0.949405	0.949405
CITED2	SLC39A2	Type 0	0.521283	0.521283
SLC39A2	SERPINB2	Type 0	0.526417	0.526417
SLC39A2	FBXO4	Type 0	0.293963	0.293963
SLC39A2	RYR1	Type 0	0.238884	0.238884
NAV3	TMEM180	Type 0	0.300467	0.300467
NFKB2	TMEM180	Type 0	0.477740	0.477740
OR1A2	TMEM180	Type 0	0.203620	0.203620
ESPL1	TMEM180	Type 0	1.000000	1.000000
TMEM180	MAGEB1	Type 0	0.297872	0.297872
TMEM180	LOC653166///OR1D5///OR1D4	Type 0	0.296957	0.296957
CDC27	THADA	Type 0	0.999059	0.999059
CEP63	THADA	Type 0	0.314845	0.314845
THADA	PLK2	Type 0	0.259441	0.259441
THADA	RGS7	Type 0	0.999349	0.999349
THADA	EEA1	Type 0	0.298974	0.298974
THADA	SLC6A5	Type 0	0.216388	0.216388
THADA	OSBPL10	Type 0	0.252024	0.252024
ZNF532	C3orf64	Type 0	0.732183	0.732183
C3orf64	CCDC102B	Type 0	0.277419	0.277419
METRN	GOLGA8B///GOLGA8A	Type 0	0.201282	0.201282
GOLGA8B///GOLGA8A	SPATA5L1	Type 0	0.288250	0.288250
AGR2	MEST	Type 0	0.314498	0.314498
VAV3	MEST	Type 0	0.999014	0.999014
DLK1	MEST	Type 0	0.297698	0.297698
IFIT1	IFI6	Type 0	0.658222	0.658222
LRRC50	IFI6	Type 0	0.207792	0.207792
OAS1	IFI6	Type 0	0.229649	0.229649
IFI44	IFI6	Type 0	0.239071	0.239071
IFI6	IFIT1	Type 0	0.274857	0.274857
IFI6	HESX1	Type 0	0.200577	0.200577
SNPH	C1orf68	Type 0	0.205882	0.205882
NAB1	C1orf68	Type 0	0.300287	0.300287
ZNF471	C1orf68	Type 0	0.300116	0.300116
FAM153A///FAM153B	C1orf68	Type 0	0.899903	0.899903
SLC39A9	C1orf68	Type 0	0.205993	0.205993
ADAM5P	C1orf68	Type 0	0.517393	0.517393
NME3	ZC4H2	Type 0	0.249905	0.249905
FOXC1	ZC4H2	Type 0	0.261242	0.261242
TSPAN13	ZC4H2	Type 0	0.299173	0.299173
C7orf43	ZC4H2	Type 0	0.947384	0.947384
ZC4H2	L1CAM	Type 0	0.403213	0.403213
SCGB1D2	SCGB2A2	Type 0	0.477553	0.477553
SCGB2A2	SCGB1D2	Type 0	0.522447	0.522447
FCGR3B	KTELC1	Type 0	0.421237	0.421237
KTELC1	NF2	Type 0	0.219464	0.219464
ATG13	GPATCH1	Type 0	0.325029	0.325029
AZI1	GPATCH1	Type 0	0.990730	0.990730
GPATCH1	LOC389906	Type 0	0.294945	0.294945
SCD5	OPHN1	Type 0	0.462119	0.462119
OPHN1	ASPH	Type 0	0.484137	0.484137
OPHN1	KIAA0090	Type 0	0.938966	0.938966
OPHN1	MYO1D	Type 0	0.770450	0.770450
OPHN1	ADAM15	Type 0	0.965570	0.965570
OPHN1	SCD5	Type 0	0.537881	0.537881
OPHN1	SLC10A3	Type 0	0.976649	0.976649
OPHN1	ATP13A2	Type 0	0.243204	0.243204
OPHN1	RRP7A	Type 0	0.274241	0.274241
OPHN1	CYP20A1	Type 0	0.999480	0.999480
OPHN1	USP34	Type 0	0.444371	0.444371
OPHN1	MBL2	Type 0	1.000000	1.000000
OPHN1	RBM10	Type 0	0.442459	0.442459
OPHN1	PDE6D	Type 0	0.998511	0.998511
OPHN1	MGA	Type 0	0.241365	0.241365
OPHN1	CPT2	Type 0	0.264888	0.264888
OPHN1	CEP76	Type 0	0.999469	0.999469
OPHN1	SLC30A10	Type 0	0.299427	0.299427
OPHN1	FGF5	Type 0	0.285563	0.285563
OPHN1	LPCAT4	Type 0	0.996186	0.996186
OPHN1	MRPL4	Type 0	0.906622	0.906622
OPHN1	LOC100132247///LOC730153///LOC729978///LOC729602///LOC642799///LOC641298///NPIPL1///NPIPL3	Type 0	0.996177	0.996177
OPHN1	PIGN	Type 0	0.999384	0.999384
OPHN1	PITPNA	Type 0	0.996984	0.996984
OPHN1	EXOC3	Type 0	0.999917	0.999917
OPHN1	TUBB2B///TUBB2A	Type 0	0.202504	0.202504
OPHN1	MYO9B	Type 0	0.267031	0.267031
OPHN1	H2AFY	Type 0	0.460615	0.460615
OPHN1	CTNNA2	Type 0	0.266518	0.266518
OPHN1	NLGN4Y	Type 0	0.524374	0.524374
OPHN1	PPP1R15A	Type 0	0.509456	0.509456
OPHN1	RRBP1	Type 0	1.000000	1.000000
OPHN1	DDX19A///DDX19B	Type 0	0.709549	0.709549
OPHN1	HTATSF1	Type 0	0.999929	0.999929
OPHN1	ZIC3	Type 0	0.410171	0.410171
OPHN1	PARP11	Type 0	0.996041	0.996041
OPHN1	PPARD	Type 0	1.000000	1.000000
OPHN1	FBXL15	Type 0	0.283798	0.283798
OPHN1	ZBTB48	Type 0	0.210235	0.210235
OPHN1	OPA3	Type 0	1.000000	1.000000
OPHN1	MPV17	Type 0	0.217707	0.217707
OPHN1	MST1P9	Type 0	0.438161	0.438161
OPHN1	CSNK1G2	Type 0	1.000000	1.000000
OPHN1	DAPK3	Type 0	0.219484	0.219484
OPHN1	VAC14	Type 0	0.551931	0.551931
OPHN1	AAK1	Type 0	0.996207	0.996207
OPHN1	C1orf144	Type 0	0.995460	0.995460
OPHN1	CLPTM1	Type 0	0.406718	0.406718
OPHN1	MECP2	Type 0	0.999311	0.999311
