Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down	BS.EdgeTypeRatio
ABCF1	ADAMTS7	0.570700	0.570700	0.000000	0.757666	3	unknown	nan/nan/nan
APH1B	ABCF1	0.303700	0.303700	0.000000	0.810998	3	unknown	nan/nan/nan
ABCF1	ARSA	0.268600	0.268600	0.000000	0.991809	3	unknown	nan/nan/nan
ABCF1	BCAR3	0.150300	0.150300	0.000000	0.932801	3	unknown	nan/nan/nan
ABCF1	BLNK	0.177100	0.177100	0.000000	0.928289	3	unknown	nan/nan/nan
CBS	ABCF1	0.439500	0.439500	0.000000	0.540159	3	unknown	nan/nan/nan
CCL24	ABCF1	0.083900	0.083900	0.000000	0.771156	3	unknown	nan/nan/nan
CD274	ABCF1	0.078100	0.078100	0.000000	0.530090	3	unknown	nan/nan/nan
ABCF1	CDH3	0.098200	0.098200	0.000000	0.973523	3	unknown	nan/nan/nan
ABCF1	CHAF1A	0.124100	0.124100	0.000000	0.550363	3	unknown	nan/nan/nan
CRK	ABCF1	0.089300	0.089300	0.000000	0.673012	3	unknown	nan/nan/nan
ABCF1	CRLF3	0.077200	0.077200	0.000000	0.790155	3	unknown	nan/nan/nan
ABCF1	CSNK1D	0.145500	0.145500	0.000000	0.989003	3	unknown	nan/nan/nan
ABCF1	CXCL14	0.105200	0.105200	0.000000	0.756654	3	unknown	nan/nan/nan
DDR1	ABCF1	0.060500	0.060500	0.000000	0.806612	3	unknown	nan/nan/nan
E2F4	ABCF1	0.079200	0.079200	0.000000	0.998737	3	unknown	nan/nan/nan
ABCF1	EDNRA	0.684500	0.684500	0.000000	0.971950	3	unknown	nan/nan/nan
EPHB3	ABCF1	0.112300	0.112300	0.000000	0.839715	3	unknown	nan/nan/nan
ABCF1	GNAL	0.180600	0.180600	0.000000	0.808970	3	unknown	nan/nan/nan
ABCF1	GNB4	0.051200	0.051200	0.000000	0.921875	3	unknown	nan/nan/nan
ABCF1	HS2ST1	0.228900	0.228900	0.000000	0.743993	3	unknown	nan/nan/nan
ABCF1	ITCH	0.102300	0.102300	0.000000	0.607038	3	unknown	nan/nan/nan
KLK10	ABCF1	0.051300	0.051300	0.000000	0.510721	3	unknown	nan/nan/nan
ABCF1	KPNA1	0.094600	0.094600	0.000000	0.904863	3	unknown	nan/nan/nan
ABCF1	LCE3D	0.449200	0.449200	0.000000	0.565227	3	unknown	nan/nan/nan
LGALS7	ABCF1	0.055700	0.055700	0.000000	0.996409	3	unknown	nan/nan/nan
ABCF1	MAP3K2	0.094600	0.094600	0.000000	0.947146	3	unknown	nan/nan/nan
MAPK14	ABCF1	0.208500	0.208500	0.000000	0.708393	3	unknown	nan/nan/nan
MLKL	ABCF1	0.214700	0.214700	0.000000	0.861202	3	unknown	nan/nan/nan
ABCF1	MMP1	0.080300	0.080300	0.000000	0.731009	3	unknown	nan/nan/nan
ABCF1	MMP15	0.283300	0.283300	0.000000	0.747617	3	unknown	nan/nan/nan
ABCF1	NFIA	0.140300	0.140300	0.000000	0.931575	3	unknown	nan/nan/nan
ABCF1	NGFR	0.085600	0.085600	0.000000	0.990654	3	unknown	nan/nan/nan
ABCF1	NNMT	0.185900	0.185900	0.000000	0.820871	3	unknown	nan/nan/nan
NOC3L	ABCF1	0.188600	0.188600	0.000000	0.680276	3	unknown	nan/nan/nan
ABCF1	PRKCG	0.099400	0.099400	0.000000	0.606640	3	unknown	nan/nan/nan
PROCR	ABCF1	0.256100	0.256100	0.000000	0.996876	3	unknown	nan/nan/nan
ABCF1	PTK2B	0.067200	0.067200	0.000000	0.976190	3	unknown	nan/nan/nan
RBP1	ABCF1	0.071300	0.071300	0.000000	0.723703	3	unknown	nan/nan/nan
ABCF1	RDH16	0.057500	0.057500	0.000000	0.772174	3	unknown	nan/nan/nan
ABCF1	RTN3	0.125300	0.125300	0.000000	0.816441	3	unknown	nan/nan/nan
SDCBP2	ABCF1	0.078500	0.078500	0.000000	0.796178	3	unknown	nan/nan/nan
ABCF1	SHB	0.115100	0.115100	0.000000	0.979149	3	unknown	nan/nan/nan
ABCF1	SHC1	0.059200	0.059200	0.000000	0.824324	3	unknown	nan/nan/nan
ABCF1	SIGLEC15	0.087400	0.087400	0.000000	0.995423	3	unknown	nan/nan/nan
ABCF1	SLC5A1	0.104000	0.104000	0.000000	0.983654	3	unknown	nan/nan/nan
SLC6A14	ABCF1	0.077300	0.077300	0.000000	0.954722	3	unknown	nan/nan/nan
ABCF1	SPATA2L	0.088600	0.088600	0.000000	0.706546	3	unknown	nan/nan/nan
ABCF1	SULT1A1	0.195700	0.195700	0.000000	0.986714	3	unknown	nan/nan/nan
TCEB1	ABCF1	0.235800	0.235800	0.000000	0.740034	3	unknown	nan/nan/nan
ABCF1	TSPAN3	0.133700	0.133700	0.000000	0.961107	3	unknown	nan/nan/nan
ABCF1	TUBA8	0.148500	0.148500	0.000000	0.876094	3	unknown	nan/nan/nan
ABCF1	TYK2	0.059800	0.059800	0.000000	0.612040	3	unknown	nan/nan/nan
