Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down
PTTG1	ESR2	0.673500	0.673500	0.000000	0.828805	3	unknown
MYBL2	ESR2	0.062100	0.062100	0.000000	0.966184	3	unknown
FOXM1	ESR2	0.150100	0.150100	0.000000	0.976016	3	unknown
HMGB2	ESR2	0.253100	0.253100	0.000000	0.949822	3	unknown
SNAPC5	ESR2	0.215100	0.215100	0.000000	0.974895	3	unknown
HMG20B	ESR2	0.769800	0.769800	0.000000	0.889322	3	unknown
RBPJ	ESR2	0.907100	0.907100	0.000000	0.908500	3	unknown
ESR2	ZNF238	0.249900	0.249900	0.000000	0.746299	3	unknown
PURA	ESR2	0.245100	0.245100	0.000000	0.963688	3	unknown
ESR2	UBN1	0.076700	0.076700	0.000000	0.521512	3	unknown
ESR2	FOSL2	0.112700	0.112700	0.000000	0.961846	3	unknown
STAT6	ESR2	0.650700	0.650700	0.000000	0.758260	3	unknown
ESR2	TGIF1	0.110400	0.110400	0.000000	0.967391	3	unknown
CTCF	ESR2	0.392000	0.392000	0.000000	0.848724	3	unknown
ESR2	MAFB	0.236200	0.236200	0.000000	0.537257	3	unknown
ESR2	MSL3	0.074800	0.074800	0.000000	0.946524	3	unknown
ESR2	TEAD4	0.063300	0.063300	0.000000	0.742496	3	unknown
SLC2A4RG	ESR2	0.256100	0.256100	0.000000	0.848106	3	unknown
ESR2	MAF	0.412900	0.412900	0.000000	0.708404	3	unknown
ESR2	TAF1B	0.127900	0.127900	0.000000	0.788116	3	unknown
HNRNPAB	ESR2	0.128700	0.128700	0.000000	0.908314	3	unknown
ESR2	ZFHX3	0.103400	0.103400	0.000000	0.870406	3	unknown
RNF4	ESR2	0.116100	0.116100	0.000000	0.503876	3	unknown
ESR2	ONECUT2	0.185000	0.185000	0.000000	0.947027	3	unknown
PTTG1	MYBL2	0.997600	0.997600	0.000000	0.749900	3	unknown
PTTG1	FOXM1	0.987900	0.987900	0.000000	0.780443	3	unknown
PTTG1	HMGB2	0.929000	0.929000	0.000000	0.627879	3	unknown
PTTG1	ASCL1	0.208500	0.208500	0.000000	0.939089	3	unknown
PTTG1	EPAS1	0.576700	0.576700	0.000000	0.853650	3	unknown
PTTG1	ZNF238	0.281400	0.281400	0.000000	0.935323	3	unknown
VDR	PTTG1	0.060800	0.060800	0.000000	0.871711	3	unknown
PHTF1	PTTG1	0.104400	0.104400	0.000000	0.715517	3	unknown
PTTG1	HMGB1	0.520700	0.520700	0.000000	0.785289	3	unknown
PTTG1	BCL3	0.070300	0.070300	0.000000	0.991465	3	unknown
TFAP2C	PTTG1	0.357500	0.357500	0.000000	0.935385	3	unknown
PTTG1	HOXC11	0.219400	0.219400	0.000000	0.985871	3	unknown
PTTG1	MSX2	0.261900	0.261900	0.000000	0.819015	3	unknown
PTTG1	BRD8	0.339800	0.339800	0.000000	0.836669	3	unknown
IRF3	PTTG1	0.068000	0.068000	0.000000	0.877941	3	unknown
HMGA1	PTTG1	0.124700	0.124700	0.000000	0.631917	3	unknown
PTTG1	RFX5	0.419400	0.419400	0.000000	0.883643	3	unknown
TAF7	PTTG1	0.245100	0.245100	0.000000	0.669115	3	unknown
PTTG1	ZNF134	0.053900	0.053900	0.000000	0.884972	3	unknown
PTTG1	TARDBP	0.149900	0.149900	0.000000	0.859239	3	unknown
PTTG1	E2F1	0.144500	0.144500	0.000000	0.919723	3	unknown
PTTG1	LASS6	0.076500	0.076500	0.000000	0.975163	3	unknown
PTTG1	HCFC1	0.056400	0.056400	0.000000	0.925532	3	unknown
PTTG1	HNRNPAB	0.134800	0.134800	0.000000	0.957715	3	unknown
PTTG1	TRIM28	0.201200	0.201200	0.000000	0.860338	3	unknown
PTTG1	LASS2	0.140700	0.140700	0.000000	0.975124	3	unknown
PTTG1	CNOT7	0.071100	0.071100	0.000000	0.888889	3	unknown
PTTG1	ATF4	0.141600	0.141600	0.000000	0.989407	3	unknown
PTTG1	HDAC1	0.248000	0.248000	0.000000	0.970565	3	unknown
PTTG1	RNF4	0.185300	0.185300	0.000000	0.934161	3	unknown
PTTG1	EDF1	0.224900	0.224900	0.000000	0.978657	3	unknown
MYBL2	FOXM1	0.351800	0.351800	0.000000	0.920978	3	unknown
MYBL2	HMGB2	0.250700	0.250700	0.000000	0.850419	3	unknown
MYBL2	ASCL1	0.091000	0.091000	0.000000	0.989011	3	unknown
MYBL2	ATF3	0.219600	0.219600	0.000000	0.847905	3	unknown
RCAN1	MYBL2	0.244000	0.244000	0.000000	0.559426	3	unknown
PBX1	MYBL2	0.207900	0.207900	0.000000	0.950457	3	unknown
MYBL2	HOPX	0.815700	0.815700	0.000000	0.957092	3	unknown
MYBL2	EPAS1	0.088400	0.088400	0.000000	0.878959	3	unknown
JUN	MYBL2	0.865300	0.865300	0.000000	0.917716	3	unknown
MYBL2	ZNF238	0.504600	0.504600	0.000000	0.982957	3	unknown
MYBL2	ZNF140	0.275400	0.275400	0.000000	0.850399	3	unknown
MYBL2	GLI3	0.053500	0.053500	0.000000	0.899065	3	unknown
MYBL2	SOX9	0.060500	0.060500	0.000000	0.990083	3	unknown
MYBL2	PBX3	0.132300	0.132300	0.000000	0.597884	3	unknown
MYBL2	FOXO3	0.234300	0.234300	0.000000	0.997012	3	unknown
MYBL2	STAT6	0.110100	0.110100	0.000000	0.923706	3	unknown
MYBL2	HMGB1	0.082000	0.082000	0.000000	0.984146	3	unknown
MYBL2	TFAP2C	0.149000	0.149000	0.000000	0.753020	3	unknown
MYBL2	BRD8	0.482400	0.482400	0.000000	0.994818	3	unknown
MYBL2	IRF3	0.533800	0.533800	0.000000	0.761334	3	unknown
MYBL2	HMGA1	0.901300	0.901300	0.000000	0.853323	3	unknown
MYBL2	ATF5	0.392100	0.392100	0.000000	0.725835	3	unknown
MYBL2	HES1	0.072800	0.072800	0.000000	0.991758	3	unknown
MYBL2	ZKSCAN1	0.123900	0.123900	0.000000	0.984665	3	unknown
MYBL2	STRN3	0.127700	0.127700	0.000000	0.942835	3	unknown
MYBL2	RFX5	0.116300	0.116300	0.000000	0.993981	3	unknown
MYBL2	ETS2	0.128000	0.128000	0.000000	0.928906	3	unknown
MYBL2	TSC22D1	0.163700	0.163700	0.000000	0.985339	3	unknown
