Parent	Child	BS.Prob	edgeScore	BS.Direction
ADCY9	ABCF1	0.125700	0.125700	0.785203
AKT2	ABCF1	0.051400	0.051400	0.879377
ABCF1	CCND3	0.346000	0.346000	0.660694
CDH3	ABCF1	0.253400	0.253400	0.958564
CDK6	ABCF1	0.100400	0.100400	0.964143
CFL1	ABCF1	0.171900	0.171900	0.806864
CTPS	ABCF1	0.075400	0.075400	0.893899
ABCF1	CYP27B1	0.163300	0.163300	0.905083
E2F2	ABCF1	0.100100	0.100100	0.956044
ABCF1	HSPA5	0.087700	0.087700	0.964652
IL1R2	ABCF1	0.050800	0.050800	0.746063
ITPR1	ABCF1	0.119500	0.119500	0.829289
ABCF1	ITPR3	0.323100	0.323100	0.684927
ABCF1	MAP3K2	0.090000	0.090000	0.964444
MMP1	ABCF1	0.101900	0.101900	0.734053
ABCF1	MT1G	0.071700	0.071700	0.976290
MYO10	ABCF1	0.063200	0.063200	0.629747
NFKBIE	ABCF1	0.268000	0.268000	0.756343
NOTCH1	ABCF1	0.081600	0.081600	0.974265
ABCF1	NXT1	0.071700	0.071700	0.991632
ABCF1	PLCB4	0.333300	0.333300	0.882988
ABCF1	PPP3CC	0.058400	0.058400	0.979452
PRKX	ABCF1	0.163400	0.163400	0.923501
ABCF1	PRPF4B	0.439900	0.439900	0.588770
ABCF1	PTPRE	0.156400	0.156400	0.894501
RORA	ABCF1	0.187900	0.187900	0.798829
ABCF1	RXRB	0.994200	0.994200	0.635486
ABCF1	S100A2	0.197900	0.197900	0.900960
SLC16A6	ABCF1	0.517400	0.517400	0.519134
ABCF1	SMOX	0.086400	0.086400	0.693287
TUBA1C	ABCF1	0.100600	0.100600	0.968191
ANXA2	ABLIM1	0.345200	0.345200	0.909328
ARHGAP10	ABLIM1	0.050100	0.050100	0.614770
B3GNT2	ABLIM1	0.102100	0.102100	0.998041
ABLIM1	BLNK	0.082800	0.082800	0.530193
CASP3	ABLIM1	0.062000	0.062000	1.000000
CASP6	ABLIM1	0.185100	0.185100	0.942193
CCDC88A	ABLIM1	0.131900	0.131900	0.839272
CEACAM1	ABLIM1	0.327500	0.327500	0.915115
CHST13	ABLIM1	0.171200	0.171200	0.549065
CHST7	ABLIM1	0.057200	0.057200	0.804196
CREB3L4	ABLIM1	0.051300	0.051300	0.935673
CXCR7	ABLIM1	0.070200	0.070200	0.894587
DUSP10	ABLIM1	0.325000	0.325000	0.982462
EFNB1	ABLIM1	0.217200	0.217200	0.935543
GNG12	ABLIM1	0.374400	0.374400	0.983707
GPX3	ABLIM1	0.058600	0.058600	0.957338
ITGB6	ABLIM1	0.116300	0.116300	0.738607
KLF10	ABLIM1	0.060400	0.060400	0.993377
LAMB2	ABLIM1	0.065400	0.065400	0.915902
MAPK6	ABLIM1	0.122900	0.122900	0.702197
MCL1	ABLIM1	0.084500	0.084500	1.000000
MMP23B	ABLIM1	0.143600	0.143600	0.709610
NEDD4	ABLIM1	0.093800	0.093800	0.740938
NFKBIB	ABLIM1	0.141800	0.141800	0.998590
PDGFB	ABLIM1	0.260400	0.260400	0.998464
ABLIM1	PPP3CA	0.059200	0.059200	0.988176
RCAN1	ABLIM1	0.079100	0.079100	0.632111
RFFL	ABLIM1	0.054100	0.054100	0.500924
ABLIM1	SH3TC1	0.100700	0.100700	0.793446
STK16	ABLIM1	0.201700	0.201700	0.977194
ABLIM1	STK17A	0.152600	0.152600	0.603539
SULT1A1	ABLIM1	0.051800	0.051800	0.980695
TAGLN2	ABLIM1	0.290800	0.290800	0.987276
ABLIM1	TNFRSF10A	0.097500	0.097500	0.780513
VAV2	ABLIM1	0.189400	0.189400	0.621436
VPS28	ABLIM1	0.053100	0.053100	0.790960
YWHAB	ABLIM1	0.079800	0.079800	0.934837
ADCY4	ACAT2	0.115500	0.115500	0.580952
ACAT2	ANXA2	0.238700	0.238700	0.542103
ACAT2	CALML5	0.106400	0.106400	0.936090
ACAT2	CASP2	0.245700	0.245700	0.566952
CCNB2	ACAT2	0.615900	0.615900	0.899984
ACAT2	CDH22	0.105800	0.105800	1.000000
ACAT2	CEBPD	0.177800	0.177800	0.906074
ACAT2	CNIH4	0.099600	0.099600	0.990964
ACAT2	CXCL14	0.065100	0.065100	0.984639
ACAT2	DHCR7	0.197700	0.197700	0.628730
ACAT2	DNAJA1	0.156000	0.156000	0.841026
ACAT2	EBP	0.189500	0.189500	0.504485
ACAT2	ERRFI1	0.055200	0.055200	0.974638
ACAT2	EZR	0.084500	0.084500	0.955030
ACAT2	FADS2	0.148100	0.148100	0.824443
ACAT2	FAM83A	0.139200	0.139200	0.859914
ACAT2	FDPS	0.050200	0.050200	0.926295
ACAT2	GABPB2	0.192600	0.192600	0.965213
ACAT2	GLS	0.075000	0.075000	0.976000
ACAT2	GNB4	0.056900	0.056900	0.987698
HDAC2	ACAT2	0.756400	0.756400	0.609730
ACAT2	HIST1H4C	0.077400	0.077400	0.900517
ACAT2	HSPA14	0.057200	0.057200	0.669580
ACAT2	HSPA2	0.054600	0.054600	0.849817
ACAT2	IDI1	0.539800	0.539800	0.674324
ACAT2	JAG1	0.057400	0.057400	0.541812
ACAT2	JUND	0.190600	0.190600	0.924449
ACAT2	KRAS	0.055800	0.055800	0.913978
LRP8	ACAT2	0.073400	0.073400	0.626703
ACAT2	MAP3K12	0.151800	0.151800	0.729249
ACAT2	ME1	0.125500	0.125500	0.876494
ACAT2	MEX3B	0.057800	0.057800	0.868512
ACAT2	MMP1	0.329500	0.329500	0.962974
ACAT2	NFATC4	0.069900	0.069900	0.952790
ACAT2	NRAS	0.052700	0.052700	0.908918
ORC6L	ACAT2	0.083300	0.083300	0.967587
PGK1	ACAT2	0.753700	0.753700	0.593605
ACAT2	PLCD1	0.093600	0.093600	0.903846
PLK1	ACAT2	0.067600	0.067600	0.655325
ACAT2	S100P	0.077200	0.077200	0.948187
ACAT2	SLC45A3	0.118800	0.118800	0.977273
ACAT2	SOCS2	0.071900	0.071900	0.974965
SOD2	ACAT2	0.732000	0.732000	0.885246
SPAG5	ACAT2	0.083700	0.083700	0.814815
STAT5B	ACAT2	0.065200	0.065200	0.745399
ACAT2	VCP	0.073200	0.073200	0.733607
YWHAG	ACAT2	0.114500	0.114500	0.684716
YWHAQ	ACAT2	0.098500	0.098500	0.861929
ACAT2	ZNF224	0.087300	0.087300	0.978236
ACAT2	ZNF461	0.117100	0.117100	0.993168
ACTA2	ACTN1	0.214100	0.214100	0.992060
ACTA2	ADAM12	0.052200	0.052200	0.672414
ACTA2	ANTXR1	0.095900	0.095900	0.852972
ACTA2	ATXN1	0.098800	0.098800	0.998988
ACTA2	BMP1	0.053100	0.053100	0.608286
ACTA2	CAV1	0.074200	0.074200	0.788410
ACTA2	CCDC88A	0.321300	0.321300	0.996265
CDH11	ACTA2	0.422500	0.422500	0.561893
ACTA2	CTGF	0.702300	0.702300	0.650861
ACTA2	CYR61	0.207100	0.207100	0.993723
ACTA2	EDNRA	0.719700	0.719700	0.730999
ACTA2	EFEMP1	0.133100	0.133100	0.999249
ACTA2	EFEMP2	0.301600	0.301600	0.965849
ACTA2	FNDC4	0.060300	0.060300	0.822554
ACTA2	GLS	0.174700	0.174700	1.000000
GNG11	ACTA2	0.142100	0.142100	0.739620
IGFBP3	ACTA2	0.199700	0.199700	0.509765
ACTA2	IGFBP7	0.280500	0.280500	0.563280
ACTA2	INVS	0.082400	0.082400	1.000000
ISLR	ACTA2	0.210200	0.210200	0.500476
