Parent	Child	relationType	edgeScore	Freq
FLJ10661	HIST1H2BA	Type 0	0.323653	0.323653
ST6GAL1	HIST1H2BA	Type 0	0.286941	0.286941
CYP2B7P1///CYP2B6	LPAR3	Type 0	0.472553	0.472553
IL20	LPAR3	Type 0	0.994708	0.994708
ADORA2B	LPAR3	Type 0	0.258107	0.258107
LPAR3	C13orf38	Type 0	0.247210	0.247210
LOC100287676	C20orf79	Type 0	0.282692	0.282692
NFE2	C20orf79	Type 0	0.240426	0.240426
UBE3C	C20orf79	Type 0	0.242248	0.242248
GSX2	C20orf79	Type 0	0.997964	0.997964
OTOS	C20orf79	Type 0	0.297443	0.297443
SOHLH2	C20orf79	Type 0	0.228595	0.228595
TNXB///ATF6B	C20orf79	Type 0	0.477480	0.477480
RNF152	C20orf79	Type 0	0.303293	0.303293
LOC642236	TPTE	Type 0	0.243051	0.243051
LOC26080	TPTE	Type 0	0.389386	0.389386
PLN	TPTE	Type 0	0.444187	0.444187
MPPED2	TPTE	Type 0	0.275510	0.275510
TPTE	LOC26080	Type 0	0.398657	0.398657
FAM150B	BAHCC1	Type 0	0.307584	0.307584
TSGA10	BAHCC1	Type 0	0.227068	0.227068
CHODL	BAHCC1	Type 0	0.272596	0.272596
SLC12A3	BAHCC1	Type 0	0.247113	0.247113
VCL	BAHCC1	Type 0	0.307450	0.307450
BAHCC1	TSGA10	Type 0	0.772932	0.772932
BAHCC1	SLC12A3	Type 0	0.249423	0.249423
BAHCC1	VCL	Type 0	0.356069	0.356069
DARC	GIPC2	Type 0	0.261375	0.261375
SDPR	GIPC2	Type 0	0.987227	0.987227
GIPC2	TRPA1	Type 0	0.532593	0.532593
GIPC2	HERC1	Type 0	0.375000	0.375000
GIPC2	ANKRD53	Type 0	0.298997	0.298997
GIPC2	TXNDC2	Type 0	0.204975	0.204975
GIPC2	LOC644620	Type 0	0.346513	0.346513
BMPR1B	OR5J2	Type 0	0.265827	0.265827
ORM2///ORM1	OR5J2	Type 0	0.205184	0.205184
CRABP1	OR5J2	Type 0	0.468485	0.468485
PPM1E	OR5J2	Type 0	0.302406	0.302406
KRT17	CRLF1	Type 0	0.366236	0.366236
MYH11	CRLF1	Type 0	0.261390	0.261390
ACTG2	CRLF1	Type 0	0.983630	0.983630
CRLF1	PRO1596	Type 0	1.000000	1.000000
CRLF1	LOC150992	Type 0	0.306380	0.306380
CRLF1	STON1-GTF2A1L///STON1///GTF2A1L	Type 0	0.352861	0.352861
CRLF1	MYT1L	Type 0	0.296335	0.296335
CRLF1	ZNF114	Type 0	0.289914	0.289914
CRLF1	FCGR1A	Type 0	0.232558	0.232558
CRLF1	LOC285456	Type 0	0.242222	0.242222
CRLF1	MAP1A	Type 0	1.000000	1.000000
INSC	LOC285300	Type 0	0.247794	0.247794
ATP2B2	LOC285300	Type 0	0.225948	0.225948
ACVR2B	LOC285300	Type 0	0.202841	0.202841
FAM38B	LOC285300	Type 0	0.577526	0.577526
FRMD7	LOC285300	Type 0	0.226244	0.226244
MGAT5B	LOC285300	Type 0	0.926587	0.926587
TNS3	LOC285300	Type 0	0.297710	0.297710
LOC285300	OR6B1	Type 0	0.236269	0.236269
LOC285300	LOC643659	Type 0	0.270476	0.270476
LOC285300	INSC	Type 0	0.292600	0.292600
LOC285300	ATP2B2	Type 0	0.311467	0.311467
LOC285300	FRMD7	Type 0	0.255204	0.255204
LOC285300	SMARCB1	Type 0	0.396859	0.396859
SF1	TRIM5	Type 0	0.285328	0.285328
STEAP4	TRIM5	Type 0	0.480923	0.480923
IGLV2-14///IGLV7-43///IGLV7-46///IGLC2///IGL@	STON1///GTF2A1L	Type 0	0.222752	0.222752
GPR19	STON1///GTF2A1L	Type 0	0.999719	0.999719
LOC100288238	STON1///GTF2A1L	Type 0	0.205794	0.205794
LEPREL1	STON1///GTF2A1L	Type 0	0.539356	0.539356
LOC150051	STON1///GTF2A1L	Type 0	0.275320	0.275320
STON1///GTF2A1L	SLC25A31	Type 0	0.375870	0.375870
ESR1	SLC4A11	Type 0	0.315982	0.315982
TRPV6	SLC4A11	Type 0	0.293553	0.293553
SLPI	SLC4A11	Type 0	0.833406	0.833406
GABRE	SLC4A11	Type 0	0.673070	0.673070
KRT7	SLC4A11	Type 0	0.266570	0.266570
SLC4A11	MKX	Type 0	0.368483	0.368483
SLC4A11	TRPV6	Type 0	0.496952	0.496952
SLC4A11	LOC389906	Type 0	0.296755	0.296755
SLC4A11	ATP13A5	Type 0	0.255131	0.255131
SLC4A11	STX19	Type 0	0.426138	0.426138
SLC4A11	OPRM1	Type 0	0.321058	0.321058
