Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down
ELF5	TFAP2B	0.124500	0.124500	0.000000	0.830522	3	unknown
SPDEF	TFAP2B	0.408000	0.408000	0.000000	0.981863	3	unknown
TFAP2B	SOX11	0.088300	0.088300	0.000000	0.701019	3	unknown
NR2F1	TFAP2B	0.202400	0.202400	0.000000	0.735672	3	unknown
TFAP2B	SLC26A3	0.082100	0.082100	0.000000	0.789281	3	unknown
TFAP2B	MSX2	0.148000	0.148000	0.000000	0.657432	3	unknown
TFAP2B	ESRRG	0.275000	0.275000	0.000000	0.828364	3	unknown
TBX3	TFAP2B	0.176000	0.176000	0.000000	0.784091	3	unknown
TFAP2B	PLAG1	0.181100	0.181100	0.000000	0.980121	3	unknown
TFAP2B	IRX4	0.256300	0.256300	0.000000	0.922357	3	unknown
FOXA1	TFAP2B	0.745900	0.745900	0.000000	0.997185	3	unknown
FOXM1	TFAP2B	0.204700	0.204700	0.000000	0.789936	3	unknown
RUNX3	TFAP2B	0.105700	0.105700	0.000000	0.968780	3	unknown
AR	TFAP2B	0.418200	0.418200	0.000000	0.914634	3	unknown
HOXB2	TFAP2B	0.175600	0.175600	0.000000	0.612187	3	unknown
MYC	TFAP2B	0.417200	0.417200	0.000000	0.658917	3	unknown
TFAP2B	SOX30	0.123400	0.123400	0.000000	0.853323	3	unknown
TFAP2C	TFAP2B	0.057300	0.057300	0.000000	0.931937	3	unknown
XBP1	TFAP2B	0.524500	0.524500	0.000000	0.998475	3	unknown
TFAP2B	SOX2	0.129200	0.129200	0.000000	0.846749	3	unknown
TFAP2B	HOXA7	0.056300	0.056300	0.000000	0.708703	3	unknown
ARNTL2	TFAP2B	0.125800	0.125800	0.000000	0.843402	3	unknown
MZF1	TFAP2B	0.211100	0.211100	0.000000	0.748934	3	unknown
TFAP2B	C2orf3	0.093400	0.093400	0.000000	0.835118	3	unknown
FOXC1	TFAP2B	0.109600	0.109600	0.000000	0.994526	3	unknown
TFAP2B	ETV2	0.154000	0.154000	0.000000	0.919481	3	unknown
TFAP2B	TBX2	0.053000	0.053000	0.000000	0.809434	3	unknown
E2F3	TFAP2B	0.060100	0.060100	0.000000	0.998336	3	unknown
TFAP2B	PRDM1	0.081700	0.081700	0.000000	0.966952	3	unknown
TFAP2B	HOXC10	0.088500	0.088500	0.000000	0.554802	3	unknown
MSX1	TFAP2B	0.108500	0.108500	0.000000	0.929032	3	unknown
TFAP2B	HSF4	0.063000	0.063000	0.000000	0.968254	3	unknown
LASS6	TFAP2B	0.105400	0.105400	0.000000	0.999051	3	unknown
TFAP2B	ATOH1	0.075100	0.075100	0.000000	0.948069	3	unknown
CEBPB	TFAP2B	0.346700	0.346700	0.000000	0.936833	3	unknown
EGR1	TFAP2B	0.112000	0.112000	0.000000	0.830357	3	unknown
TFAP2B	ARID3A	0.050400	0.050400	0.000000	0.978175	3	unknown
NFYB	TFAP2B	0.083800	0.083800	0.000000	0.881862	3	unknown
MITF	TFAP2B	0.052300	0.052300	0.000000	0.952199	3	unknown
TFAP2B	HMGB2	0.314100	0.314100	0.000000	0.927412	3	unknown
SPDEF	ELF5	0.194400	0.194400	0.000000	0.821502	3	unknown
NFIB	ELF5	0.439900	0.439900	0.000000	0.541714	3	unknown
