Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down	BS.EdgeTypeRatio
CCNA1	ABCF1	0.052700	0.052700	0.000000	0.988615	3	unknown	nan/nan/nan
CHAC1	ABCF1	0.488200	0.488200	0.000000	0.968046	3	unknown	nan/nan/nan
ABCF1	E2F3	0.088900	0.088900	0.000000	0.685039	3	unknown	nan/nan/nan
ABCF1	ELOVL1	0.161100	0.161100	0.000000	0.980757	3	unknown	nan/nan/nan
ABCF1	FADS2	0.053700	0.053700	0.000000	0.979516	3	unknown	nan/nan/nan
FGFBP1	ABCF1	0.259500	0.259500	0.000000	0.995761	3	unknown	nan/nan/nan
ABCF1	GAL	0.268400	0.268400	0.000000	0.538003	3	unknown	nan/nan/nan
GNAI2	ABCF1	0.192100	0.192100	0.000000	0.992712	3	unknown	nan/nan/nan
HSPC159	ABCF1	0.101300	0.101300	0.000000	0.810464	3	unknown	nan/nan/nan
ABCF1	ITGA2	0.127700	0.127700	0.000000	0.918559	3	unknown	nan/nan/nan
KCNG1	ABCF1	0.634700	0.634700	0.000000	0.592563	3	unknown	nan/nan/nan
KPNA1	ABCF1	0.077700	0.077700	0.000000	0.974260	3	unknown	nan/nan/nan
LRP8	ABCF1	0.116100	0.116100	0.000000	0.677864	3	unknown	nan/nan/nan
ABCF1	MREG	0.060900	0.060900	0.000000	0.875205	3	unknown	nan/nan/nan
ABCF1	NEDD4	0.247500	0.247500	0.000000	0.877172	3	unknown	nan/nan/nan
NFIX	ABCF1	0.057700	0.057700	0.000000	0.896014	3	unknown	nan/nan/nan
ABCF1	NRIP1	0.071300	0.071300	0.000000	0.943899	3	unknown	nan/nan/nan
ABCF1	PRKX	0.153900	0.153900	0.000000	0.840156	3	unknown	nan/nan/nan
PRR7	ABCF1	0.079500	0.079500	0.000000	0.862893	3	unknown	nan/nan/nan
PRSS3	ABCF1	0.313400	0.313400	0.000000	0.828334	3	unknown	nan/nan/nan
ABCF1	RCBTB1	0.183000	0.183000	0.000000	0.875956	3	unknown	nan/nan/nan
RPL35A	ABCF1	0.077800	0.077800	0.000000	0.984576	3	unknown	nan/nan/nan
ABCF1	SESN1	0.211000	0.211000	0.000000	0.769668	3	unknown	nan/nan/nan
STAM2	ABCF1	0.104800	0.104800	0.000000	0.764313	3	unknown	nan/nan/nan
ABCF1	STEAP1	0.051400	0.051400	0.000000	0.961089	3	unknown	nan/nan/nan
ABCF1	TMSB10	0.209900	0.209900	0.000000	0.930919	3	unknown	nan/nan/nan
TUBA1C	ABCF1	0.560800	0.560800	0.000000	0.812767	3	unknown	nan/nan/nan
VAC14	ABCF1	0.062800	0.062800	0.000000	0.831210	3	unknown	nan/nan/nan
CASP5	ABLIM1	0.082700	0.082700	0.000000	0.997582	3	unknown	nan/nan/nan
ABLIM1	CEACAM1	0.147700	0.147700	0.000000	0.698714	3	unknown	nan/nan/nan
CHAF1A	ABLIM1	0.136000	0.136000	0.000000	0.977206	3	unknown	nan/nan/nan
CHST3	ABLIM1	0.060100	0.060100	0.000000	0.993344	3	unknown	nan/nan/nan
ABLIM1	CXADR	0.112300	0.112300	0.000000	0.925200	3	unknown	nan/nan/nan
ABLIM1	CXCL1	0.059200	0.059200	0.000000	0.961149	3	unknown	nan/nan/nan
ABLIM1	EGFR	0.103400	0.103400	0.000000	0.597679	3	unknown	nan/nan/nan
ABLIM1	ENO2	0.106200	0.106200	0.000000	0.853107	3	unknown	nan/nan/nan
ABLIM1	ERBB2	0.077600	0.077600	0.000000	0.856959	3	unknown	nan/nan/nan
ABLIM1	GNAS	0.089100	0.089100	0.000000	0.661055	3	unknown	nan/nan/nan
GNG4	ABLIM1	0.131500	0.131500	0.000000	0.977186	3	unknown	nan/nan/nan
ABLIM1	GRB2	0.057500	0.057500	0.000000	0.624348	3	unknown	nan/nan/nan
HDAC4	ABLIM1	0.219900	0.219900	0.000000	0.765348	3	unknown	nan/nan/nan
ABLIM1	HSP90AA1	0.166000	0.166000	0.000000	0.606627	3	unknown	nan/nan/nan
IL1F5	ABLIM1	0.160900	0.160900	0.000000	1.000000	3	unknown	nan/nan/nan
ABLIM1	ITGB6	0.202600	0.202600	0.000000	0.598717	3	unknown	nan/nan/nan
ABLIM1	MMP15	0.118600	0.118600	0.000000	0.928331	3	unknown	nan/nan/nan
MYCN	ABLIM1	0.101300	0.101300	0.000000	0.890424	3	unknown	nan/nan/nan
NOTCH1	ABLIM1	0.263000	0.263000	0.000000	0.880989	3	unknown	nan/nan/nan
OGFR	ABLIM1	0.081800	0.081800	0.000000	0.969438	3	unknown	nan/nan/nan
PLD2	ABLIM1	0.058400	0.058400	0.000000	0.683219	3	unknown	nan/nan/nan
PRKAA1	ABLIM1	0.082300	0.082300	0.000000	0.755772	3	unknown	nan/nan/nan
PTMS	ABLIM1	0.133700	0.133700	0.000000	1.000000	3	unknown	nan/nan/nan
ROBO3	ABLIM1	0.081500	0.081500	0.000000	0.992638	3	unknown	nan/nan/nan
ABLIM1	ROCK2	0.126800	0.126800	0.000000	0.828076	3	unknown	nan/nan/nan
SLC25A37	ABLIM1	0.395100	0.395100	0.000000	0.833460	3	unknown	nan/nan/nan
SLC5A1	ABLIM1	0.183800	0.183800	0.000000	0.724701	3	unknown	nan/nan/nan
ABLIM1	SLC6A14	0.090300	0.090300	0.000000	0.935770	3	unknown	nan/nan/nan
SOS2	ABLIM1	0.349000	0.349000	0.000000	0.990831	3	unknown	nan/nan/nan
ABLIM1	STEAP1	0.114500	0.114500	0.000000	0.960699	3	unknown	nan/nan/nan
ABLIM1	TRIB1	0.058700	0.058700	0.000000	0.979557	3	unknown	nan/nan/nan
TUBA1B	ABLIM1	0.070700	0.070700	0.000000	0.974540	3	unknown	nan/nan/nan
