Parent	Child	relationType	edgeScore	Freq
SRRM2	RRBP1	Type 0	0.227946	0.227946
BAT2L2	RRBP1	Type 0	0.976724	0.976724
COPG	RRBP1	Type 0	0.299607	0.299607
SRD5A1	CUX2	Type 0	0.210243	0.210243
ALOX15B	CUX2	Type 0	0.848592	0.848592
CLDN8	CUX2	Type 0	0.200425	0.200425
PDLIM1	CUX2	Type 0	0.300437	0.300437
AKR1B10	CUX2	Type 0	0.419227	0.419227
F2RL1	CUX2	Type 0	0.246537	0.246537
ATP2B3	BAI3	Type 0	0.274936	0.274936
GNGT1	BAI3	Type 0	0.291195	0.291195
ACTL6A	PRKCI	Type 0	0.943949	0.943949
LOC642869///SET	PRKCI	Type 0	0.266919	0.266919
CPSF6	PRKCI	Type 0	0.251606	0.251606
PRKCI	ZNF750	Type 0	0.262880	0.262880
PRKCI	LOC642869///SET	Type 0	0.379017	0.379017
LOC157627	DLX2	Type 0	0.764812	0.764812
DLX2	PSG3	Type 0	0.256501	0.256501
DLX2	SERPINI2	Type 0	0.928147	0.928147
SLCO2B1	HDHD3	Type 0	1.000000	1.000000
TRIM15	HDHD3	Type 0	0.217772	0.217772
HDHD3	TRPM4	Type 0	0.324849	0.324849
HDHD3	ANKRD5	Type 0	0.319674	0.319674
HDHD3	BSPRY	Type 0	1.000000	1.000000
HDHD3	ERAL1	Type 0	0.381333	0.381333
SCGB1D2	SCGB2A2	Type 0	0.285536	0.285536
SCGB2A2	SCGB1D2	Type 0	0.714464	0.714464
C12orf47	ZNF24	Type 0	0.805961	0.805961
KRR1	ZNF24	Type 0	0.330282	0.330282
ZNF24	MED13L	Type 0	0.351331	0.351331
ZNF24	HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A///HIST1H2AD	Type 0	0.211648	0.211648
ZNF24	LOC220594	Type 0	0.249708	0.249708
ZNF24	PATZ1	Type 0	0.219832	0.219832
IL1RN	CDKN1A	Type 0	0.997892	0.997892
BHLHE40	CDKN1A	Type 0	0.298018	0.298018
PLAU	CDKN1A	Type 0	0.230313	0.230313
RNF13	CDKN1A	Type 0	0.273791	0.273791
PGAP3	MED1	Type 0	0.749093	0.749093
OPTN	MED1	Type 0	0.256861	0.256861
NKX2-2	MED1	Type 0	0.262712	0.262712
SNORA21	MED1	Type 0	0.223529	0.223529
RPL19	MED1	Type 0	0.303184	0.303184
MED1	RPL19	Type 0	0.302886	0.302886
RPS6KB1	APPBP2	Type 0	0.232809	0.232809
CYB561	APPBP2	Type 0	0.216097	0.216097
APPBP2	RPS6KB1	Type 0	0.418807	0.418807
APPBP2	DHX40	Type 0	0.337136	0.337136
PIGV	DNAJC16	Type 0	0.999765	0.999765
ZMYM4	DNAJC16	Type 0	0.377172	0.377172
MFAP5	RRAS	Type 0	0.298650	0.298650
LAMA4	RRAS	Type 0	0.241064	0.241064
TNS1	RRAS	Type 0	0.985987	0.985987
DPT	RRAS	Type 0	0.212040	0.212040
RPS6KB1	HEATR6	Type 0	0.279188	0.279188
CYB561	HEATR6	Type 0	0.258952	0.258952
BPTF	HEATR6	Type 0	0.206960	0.206960
APPBP2	HEATR6	Type 0	0.494907	0.494907
HEATR6	APPBP2	Type 0	0.505093	0.505093
HEATR6	PTRH2	Type 0	0.779869	0.779869
TAZ	OR1E1	Type 0	0.956008	0.956008
OR1E1	MPHOSPH9	Type 0	0.222992	0.222992
OR1E1	PCSK2	Type 0	0.227642	0.227642
ABAT	ACOX2	Type 0	0.289150	0.289150
SLC16A6	ACOX2	Type 0	0.988462	0.988462
ENPP1	ACOX2	Type 0	0.348788	0.348788
CEP57	C11orf61	Type 0	0.246734	0.246734
EPB49	C11orf61	Type 0	0.301905	0.301905
TCERG1	C11orf61	Type 0	0.298332	0.298332
MAP4K5	C11orf61	Type 0	0.980298	0.980298
CDK1	TK1	Type 0	0.301705	0.301705
KIF20A	TK1	Type 0	0.214696	0.214696
ALMS1	GP2	Type 0	0.978973	0.978973
ZNF665	GP2	Type 0	0.212052	0.212052
TMBIM4	GP2	Type 0	0.276399	0.276399
TACR2	SYN3	Type 0	0.994023	0.994023
GUCY1A2	SYN3	Type 0	0.208025	0.208025
SYN3	MMP10	Type 0	0.293447	0.293447
MTMR10	SHH	Type 0	0.964597	0.964597
ETV1	SHH	Type 0	0.241604	0.241604
SHH	ALG9	Type 0	1.000000	1.000000
SHH	GPD1	Type 0	0.967733	0.967733
RPL14P1///RPL14	ROCK2	Type 0	0.563189	0.563189
RPL29P11///RPL29P4///RPL29	ROCK2	Type 0	0.217845	0.217845
BHLHE41	ROCK2	Type 0	0.306543	0.306543
ROCK2	BHLHE41	Type 0	0.681911	0.681911
C6orf97	FAT4	Type 0	0.994029	0.994029
FAT4	ADAMTSL3	Type 0	0.995663	0.995663
FAT4	OLFML1	Type 0	0.298240	0.298240
FAT4	FOLH1	Type 0	0.223976	0.223976
NDUFB4	PDCD6	Type 0	0.221981	0.221981
ARF1	PDCD6	Type 0	0.213369	0.213369
GNL3L	MAVS	Type 0	0.290909	0.290909
GNAT1	FJX1	Type 0	0.200463	0.200463
TMEM35	FJX1	Type 0	0.271877	0.271877
KCNN4	FJX1	Type 0	0.296642	0.296642
FJX1	GAD2	Type 0	0.294118	0.294118
GPATCH8	ACAP2	Type 0	0.208902	0.208902
EI24	SRPR	Type 0	0.240290	0.240290
G6PC3	SRPR	Type 0	0.344012	0.344012
UBE4A	SRPR	Type 0	0.936065	0.936065
GRM6	OGG1	Type 0	0.300846	0.300846
ZNF787	OGG1	Type 0	1.000000	1.000000
CALCR	TIGD1L	Type 0	0.251832	0.251832
CALCR	PCDH11Y	Type 0	0.295317	0.295317
CALCR	SNX7	Type 0	0.285445	0.285445
SNX2	DCP2	Type 0	0.291361	0.291361
SRSF2IP	DCP2	Type 0	0.298915	0.298915
PPWD1	DCP2	Type 0	0.999631	0.999631
DCP2	ATP2B1	Type 0	0.300077	0.300077
EBAG9	TMEM70	Type 0	0.296931	0.296931
AZIN1	TMEM70	Type 0	0.931522	0.931522
ITIH5	VGLL3	Type 0	0.906532	0.906532
ANGPTL2	VGLL3	Type 0	0.259709	0.259709
VGLL3	SNPH	Type 0	0.296041	0.296041
VGLL3	EGFL6	Type 0	0.206066	0.206066
CAPRIN1	APIP	Type 0	0.217274	0.217274
PRMT3	APIP	Type 0	0.298800	0.298800
MED28	APIP	Type 0	0.202454	0.202454
PDHX	APIP	Type 0	1.000000	1.000000
SNW1	APIP	Type 0	0.246745	0.246745
UBA3	RYBP	Type 0	0.999373	0.999373
RTEL1///TNFRSF6B	EDDM3A	Type 0	0.896386	0.896386
RTEL1///TNFRSF6B	CCR6	Type 0	0.954886	0.954886
GPA33	C10orf119	Type 0	0.316051	0.316051
PPP1R12B	C10orf119	Type 0	1.000000	1.000000
PEX19	PIGP	Type 0	0.422168	0.422168
AMZ2	PIGP	Type 0	0.292350	0.292350
WRB	PIGP	Type 0	0.895849	0.895849
NDUFAF3	PIGP	Type 0	0.213033	0.213033
PIGP	SPAG16	Type 0	0.300319	0.300319
ASMTL	MYO7A	Type 0	0.299658	0.299658
HNF4A	MYO7A	Type 0	0.994324	0.994324
SPP2	MYO7A	Type 0	0.333928	0.333928
TOP1	EIF4G1	Type 0	0.299571	0.299571
FOXF1	EPHA5	Type 0	0.233420	0.233420
XKRY2///XKRY	EPHA5	Type 0	0.985237	0.985237
GPR15	EPHA5	Type 0	0.208612	0.208612
EPHA5	LOC729863///LOC729501///ZNF834	Type 0	0.214831	0.214831
EPHA5	ELOVL4	Type 0	0.216022	0.216022
SPCS1	WRB	Type 0	0.784453	0.784453
WRB	HMGN1	Type 0	0.620158	0.620158
WRB	PSMG1	Type 0	0.255851	0.255851
FAT1	MYO10	Type 0	0.406368	0.406368
PTPRK	MYO10	Type 0	0.260109	0.260109
MYO10	NOVA1	Type 0	0.299489	0.299489
MYO10	CXADR	Type 0	0.297843	0.297843
MYO10	PHGDH	Type 0	0.298819	0.298819
MYO10	PLCB4	Type 0	1.000000	1.000000
MYO10	SIM1	Type 0	0.280627	0.280627
DPYSL3	RNF144A	Type 0	0.961453	0.961453
NID1	RNF144A	Type 0	0.299927	0.299927
RNF144A	DZIP1	Type 0	0.300922	0.300922
TBC1D9	REEP5	Type 0	0.213809	0.213809
REEP5	ALCAM	Type 0	0.999795	0.999795
CSE1L	YTHDF1	Type 0	0.287051	0.287051
SLMO2	YTHDF1	Type 0	0.203861	0.203861
OSBPL2	YTHDF1	Type 0	0.201243	0.201243
C20orf11	YTHDF1	Type 0	0.252690	0.252690
ADRM1	YTHDF1	Type 0	0.592644	0.592644
SLC2A4RG	YTHDF1	Type 0	0.208610	0.208610
YTHDF1	SLMO2	Type 0	0.568427	0.568427
YTHDF1	OSBPL2	Type 0	0.314019	0.314019
YTHDF1	C20orf11	Type 0	0.739130	0.739130
YTHDF1	STAU1	Type 0	0.370820	0.370820
YTHDF1	ADRM1	Type 0	0.279555	0.279555
YTHDF1	UCKL1	Type 0	0.780857	0.780857
YTHDF1	SLC2A4RG	Type 0	0.786456	0.786456
YTHDF1	VAPB	Type 0	0.224125	0.224125
YTHDF1	VPS35	Type 0	0.270243	0.270243
RASSF4	C6orf54	Type 0	0.946669	0.946669
C6orf54	IQGAP1	Type 0	0.297790	0.297790
C6orf54	TCF7L1	Type 0	0.990922	0.990922
C6orf54	DKFZP564C196	Type 0	0.294733	0.294733
C6orf54	PAMR1	Type 0	0.427286	0.427286
ERBB2IP	NFE2L2	Type 0	0.256138	0.256138
NFE2L2	TANK	Type 0	0.882239	0.882239
NFE2L2	IER5	Type 0	0.998434	0.998434
NFE2L2	RNF13	Type 0	0.981481	0.981481
ACTL6A	CDK4	Type 0	0.208458	0.208458
CNPY2	CDK4	Type 0	0.998685	0.998685
TRA2B	CDK4	Type 0	0.338980	0.338980
ABCB9	C1orf50	Type 0	0.996952	0.996952
IFIT1	IFIT3	Type 0	0.292153	0.292153
RSAD2	IFIT3	Type 0	0.434184	0.434184
OLR1	IFIT3	Type 0	0.246914	0.246914
IFIT3	RSAD2	Type 0	0.565816	0.565816
IFIT3	OAS2	Type 0	0.726921	0.726921
COL3A1	GJA1	Type 0	0.220258	0.220258
KRT19///JUP	C19orf26	Type 0	0.295959	0.295959
TWF1	C19orf26	Type 0	0.256273	0.256273
FAM173A	C19orf26	Type 0	0.999336	0.999336
RUVBL2	APEX1	Type 0	0.215235	0.215235
TARDBP	APEX1	Type 0	0.597432	0.597432
CD40	SNRNP27	Type 0	0.998141	0.998141
SNRNP27	ETFB	Type 0	0.233766	0.233766
SNRNP27	PHF14	Type 0	1.000000	1.000000
LOC100130100	IGLL3	Type 0	0.296400	0.296400
LAMB1	LPHN2	Type 0	0.246363	0.246363
TUBB6	LPHN2	Type 0	0.202386	0.202386
MCAM	LPHN2	Type 0	0.356899	0.356899
LOX	LPHN2	Type 0	0.981657	0.981657
LPHN2	SGCE	Type 0	0.299800	0.299800
ZNF187	UFD1L	Type 0	0.278734	0.278734
UFD1L	NAA16	Type 0	0.232156	0.232156
KLF6	DGCR11	Type 0	0.846925	0.846925
DGCR11	PLSCR3	Type 0	0.378352	0.378352
DGCR11	TCF3	Type 0	0.584633	0.584633
DGCR11	CREB1	Type 0	0.247473	0.247473
SOX12	TIGD6	Type 0	0.999751	0.999751
SOX12	SERPINB2	Type 0	0.213406	0.213406
SIGLEC6	ACD	Type 0	0.229993	0.229993
TRIM14	ACD	Type 0	0.290188	0.290188
ACVR1B	ACD	Type 0	1.000000	1.000000
ACD	SF3B3	Type 0	0.990091	0.990091
CAV1	CYB5R3	Type 0	0.340112	0.340112
SERPING1	CYB5R3	Type 0	0.946068	0.946068
CYB5R3	WBP5	Type 0	0.317889	0.317889
CYB5R3	AGPAT2	Type 0	0.375668	0.375668
SNAPC3	FAR2	Type 0	0.271429	0.271429
ARF1	PPP4C	Type 0	0.304686	0.304686
POLR3K	PPP4C	Type 0	0.288054	0.288054
NDUFAB1	PPP4C	Type 0	0.859016	0.859016
PPP4C	THSD7A	Type 0	0.215139	0.215139
PPP4C	ALDOA	Type 0	0.995814	0.995814
MKL2	DYNC2LI1	Type 0	0.362625	0.362625
