Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down	BS.EdgeTypeRatio
ACTN4	ABCF1	0.136100	0.136100	0.000000	0.638501	3	unknown	nan/nan/nan
ABCF1	BBC3	0.071200	0.071200	0.000000	0.974719	3	unknown	nan/nan/nan
ABCF1	CCND3	0.243400	0.243400	0.000000	0.723500	3	unknown	nan/nan/nan
CNIH4	ABCF1	0.086900	0.086900	0.000000	0.953970	3	unknown	nan/nan/nan
COTL1	ABCF1	0.115100	0.115100	0.000000	0.812337	3	unknown	nan/nan/nan
ABCF1	CSTA	0.110800	0.110800	0.000000	0.903430	3	unknown	nan/nan/nan
CTPS	ABCF1	0.136500	0.136500	0.000000	0.641026	3	unknown	nan/nan/nan
ABCF1	EWSR1	0.197000	0.197000	0.000000	0.918782	3	unknown	nan/nan/nan
GRN	ABCF1	0.097700	0.097700	0.000000	0.731832	3	unknown	nan/nan/nan
ABCF1	GSTK1	0.076400	0.076400	0.000000	0.709424	3	unknown	nan/nan/nan
ABCF1	HDAC3	0.102000	0.102000	0.000000	0.800000	3	unknown	nan/nan/nan
HGS	ABCF1	0.104100	0.104100	0.000000	0.621518	3	unknown	nan/nan/nan
ABCF1	IGFBP4	0.057100	0.057100	0.000000	0.711033	3	unknown	nan/nan/nan
IRAK1	ABCF1	0.098000	0.098000	0.000000	0.636735	3	unknown	nan/nan/nan
MAP3K11	ABCF1	0.098500	0.098500	0.000000	0.603046	3	unknown	nan/nan/nan
NRIP1	ABCF1	0.111800	0.111800	0.000000	0.630590	3	unknown	nan/nan/nan
OSBPL8	ABCF1	0.074100	0.074100	0.000000	0.766532	3	unknown	nan/nan/nan
ABCF1	PDIA4	0.063100	0.063100	0.000000	0.900158	3	unknown	nan/nan/nan
ABCF1	PPP1R11	0.148900	0.148900	0.000000	0.828073	3	unknown	nan/nan/nan
ABCF1	PYGL	0.058100	0.058100	0.000000	0.755594	3	unknown	nan/nan/nan
ABCF1	SGSH	0.099200	0.099200	0.000000	0.587702	3	unknown	nan/nan/nan
ABCF1	TIMM13	0.280600	0.280600	0.000000	0.830007	3	unknown	nan/nan/nan
YWHAQ	ABCF1	0.319000	0.319000	0.000000	0.744201	3	unknown	nan/nan/nan
ACTN3	ABLIM1	0.174900	0.174900	0.000000	1.000000	3	unknown	nan/nan/nan
ADAM8	ABLIM1	0.058000	0.058000	0.000000	1.000000	3	unknown	nan/nan/nan
