Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down	BS.EdgeTypeRatio
CISH	ABCF1	0.317500	0.317500	0.000000	0.868346	3	unknown	-nan/-nan/-nan
CRTC1	ABCF1	0.076000	0.076000	0.000000	0.993421	3	unknown	-nan/-nan/-nan
ABCF1	CSGALNACT2	0.058500	0.058500	0.000000	0.905983	3	unknown	-nan/-nan/-nan
ABCF1	CYP2U1	0.211300	0.211300	0.000000	0.866067	3	unknown	-nan/-nan/-nan
FNDC4	ABCF1	0.054900	0.054900	0.000000	0.976321	3	unknown	-nan/-nan/-nan
FOSL1	ABCF1	0.075700	0.075700	0.000000	0.997358	3	unknown	-nan/-nan/-nan
ABCF1	GLRX	0.066400	0.066400	0.000000	0.917169	3	unknown	-nan/-nan/-nan
ABCF1	GNB1	0.112200	0.112200	0.000000	0.946524	3	unknown	-nan/-nan/-nan
ABCF1	GNB1L	0.184300	0.184300	0.000000	0.517634	3	unknown	-nan/-nan/-nan
ABCF1	ITGB7	0.203000	0.203000	0.000000	0.805419	3	unknown	-nan/-nan/-nan
ABCF1	KLF7	0.284000	0.284000	0.000000	0.874648	3	unknown	-nan/-nan/-nan
MAP3K12	ABCF1	0.406600	0.406600	0.000000	0.934825	3	unknown	-nan/-nan/-nan
MAP3K14	ABCF1	0.059500	0.059500	0.000000	0.952941	3	unknown	-nan/-nan/-nan
MAP3K3	ABCF1	0.348300	0.348300	0.000000	0.679012	3	unknown	-nan/-nan/-nan
MAPK14	ABCF1	0.082700	0.082700	0.000000	0.886336	3	unknown	-nan/-nan/-nan
MYH14	ABCF1	0.229700	0.229700	0.000000	0.917283	3	unknown	-nan/-nan/-nan
PFDN1	ABCF1	0.567400	0.567400	0.000000	0.827282	3	unknown	-nan/-nan/-nan
ABCF1	PFKFB3	0.061700	0.061700	0.000000	0.983793	3	unknown	-nan/-nan/-nan
ABCF1	PSORS1C2	0.604100	0.604100	0.000000	0.912928	3	unknown	-nan/-nan/-nan
ABCF1	PTEN	0.102700	0.102700	0.000000	0.898734	3	unknown	-nan/-nan/-nan
ABCF1	SMURF1	0.946800	0.946800	0.000000	0.533270	3	unknown	-nan/-nan/-nan
ABCF1	SOS1	0.075500	0.075500	0.000000	0.932450	3	unknown	-nan/-nan/-nan
ABCF1	UBE2J1	0.146100	0.146100	0.000000	0.885010	3	unknown	-nan/-nan/-nan
ABLIM1	AQP3	0.484100	0.484100	0.000000	0.796530	3	unknown	-nan/-nan/-nan
ABLIM1	ATXN1	0.194700	0.194700	0.000000	0.669748	3	unknown	-nan/-nan/-nan
ABLIM1	BLNK	0.223000	0.223000	0.000000	0.713453	3	unknown	-nan/-nan/-nan
CEND1	ABLIM1	0.079800	0.079800	0.000000	0.956140	3	unknown	-nan/-nan/-nan
ABLIM1	CXCL14	0.106000	0.106000	0.000000	0.871698	3	unknown	-nan/-nan/-nan
ABLIM1	DUSP4	0.058100	0.058100	0.000000	0.958692	3	unknown	-nan/-nan/-nan
E2F1	ABLIM1	0.106900	0.106900	0.000000	0.838167	3	unknown	-nan/-nan/-nan
ELK3	ABLIM1	0.192100	0.192100	0.000000	0.818324	3	unknown	-nan/-nan/-nan
GNG12	ABLIM1	0.569900	0.569900	0.000000	0.823829	3	unknown	-nan/-nan/-nan
GRB7	ABLIM1	0.243900	0.243900	0.000000	0.963510	3	unknown	-nan/-nan/-nan
HDAC11	ABLIM1	0.093500	0.093500	0.000000	0.933690	3	unknown	-nan/-nan/-nan
JAK1	ABLIM1	0.058600	0.058600	0.000000	0.895904	3	unknown	-nan/-nan/-nan
MKNK2	ABLIM1	0.138300	0.138300	0.000000	0.814895	3	unknown	-nan/-nan/-nan
NDST1	ABLIM1	0.189000	0.189000	0.000000	0.965079	3	unknown	-nan/-nan/-nan
ABLIM1	NOTCH2	0.066800	0.066800	0.000000	0.902695	3	unknown	-nan/-nan/-nan
ABLIM1	PIK3R1	0.306700	0.306700	0.000000	0.542550	3	unknown	-nan/-nan/-nan
PPP2R5C	ABLIM1	0.476600	0.476600	0.000000	0.860260	3	unknown	-nan/-nan/-nan
ABLIM1	PTEN	0.057800	0.057800	0.000000	0.821799	3	unknown	-nan/-nan/-nan
RPS16	ABLIM1	0.066700	0.066700	0.000000	0.550225	3	unknown	-nan/-nan/-nan
SLMO2	ABLIM1	0.087000	0.087000	0.000000	0.989655	3	unknown	-nan/-nan/-nan
STK17A	ABLIM1	0.064700	0.064700	0.000000	0.783617	3	unknown	-nan/-nan/-nan
ABLIM1	TUBA4A	0.150500	0.150500	0.000000	0.776080	3	unknown	-nan/-nan/-nan
UBE2J1	ABLIM1	0.190300	0.190300	0.000000	0.996847	3	unknown	-nan/-nan/-nan
