Parent	Child	relationType	edgeScore	Freq
LOC645561	LOC389831	Type 0	0.673246	0.673246
LOC389831	LOC645561	Type 0	0.326511	0.326511
NBPF10///NBPF16///NBPF24///NBPF8///AE01///NBPF9///NBPF11///KIAA1245///NBPF3///NBPF1///NBPF14	DNPEP	Type 0	0.245839	0.245839
DNPEP	RPL37A	Type 0	0.219224	0.219224
CDK1	DNAJC9	Type 0	0.223660	0.223660
ZNF367	DNAJC9	Type 0	0.981373	0.981373
RACGAP1	DNAJC9	Type 0	0.345316	0.345316
LENG8	DNAJC9	Type 0	0.210863	0.210863
TFAM	DNAJC9	Type 0	0.202840	0.202840
RMI1	DNAJC9	Type 0	0.235055	0.235055
DNAJC9	INTS2	Type 0	0.302028	0.302028
SEC23A	THBS1	Type 0	0.888622	0.888622
SEC23A	SGMS2	Type 0	0.984846	0.984846
SEC23A	F2RL1	Type 0	0.996811	0.996811
SEC23A	CDKN2B	Type 0	0.290255	0.290255
SEC23A	VGLL3	Type 0	0.277276	0.277276
SEC23A	PLS3	Type 0	0.585662	0.585662
FCRL5	DTNB	Type 0	0.855504	0.855504
CPNE5	DTNB	Type 0	0.245798	0.245798
DTNB	GTSF1	Type 0	0.999555	0.999555
ESR1	SLC46A1	Type 0	0.202131	0.202131
FOXC1	SLC46A1	Type 0	0.514659	0.514659
SLC16A6	SLC46A1	Type 0	0.971837	0.971837
C17orf108	SLC46A1	Type 0	0.280795	0.280795
NLK	SLC46A1	Type 0	0.244522	0.244522
SLC46A1	GPAT2	Type 0	0.369322	0.369322
SLC46A1	DHRS13	Type 0	0.302274	0.302274
TMEM30A	TMX1	Type 0	0.356851	0.356851
EXOC5	TMX1	Type 0	0.720169	0.720169
TMX1	TMEM30A	Type 0	0.395426	0.395426
TMX1	TMED2	Type 0	0.262904	0.262904
TMX1	UBA6	Type 0	0.202035	0.202035
TMX1	EXOC5	Type 0	0.259739	0.259739
TMX1	FH	Type 0	0.204457	0.204457
TMX1	NPIPL2	Type 0	0.262890	0.262890
CPEB2	RELL1	Type 0	0.267846	0.267846
RELL1	KIAA1324L	Type 0	0.310543	0.310543
RELL1	TRIM9	Type 0	0.297129	0.297129
SF3B1	SNX9	Type 0	0.381805	0.381805
SNX9	ITPRIPL2	Type 0	0.405786	0.405786
SNX9	TCF4	Type 0	0.331488	0.331488
SNX9	WWC2	Type 0	0.280443	0.280443
SNX9	PITPNM3	Type 0	0.228240	0.228240
SNX9	ATP7A	Type 0	0.224185	0.224185
SNX9	SYNJ2	Type 0	0.364360	0.364360
SNX9	DGKZ	Type 0	0.211765	0.211765
ANKRD30A	LOC646360	Type 0	0.326125	0.326125
LOC646360	ANKRD30A	Type 0	0.673875	0.673875
TPX2	HJURP	Type 0	0.329291	0.329291
CENPF	HJURP	Type 0	0.783965	0.783965
HJURP	CXCL14	Type 0	0.284548	0.284548
HJURP	C4B///C4A	Type 0	0.212556	0.212556
HJURP	EZH2	Type 0	0.965142	0.965142
SLAMF8	NOD2	Type 0	0.216822	0.216822
EPSTI1	NOD2	Type 0	0.276494	0.276494
TAP1	NOD2	Type 0	0.435071	0.435071
NOD2	PITX1	Type 0	0.393215	0.393215
SNAI2	HAS2	Type 0	0.989965	0.989965
ICAM1	HAS2	Type 0	0.295966	0.295966
FAS	HAS2	Type 0	0.238938	0.238938
GLS	HAS2	Type 0	0.352119	0.352119
BMP2	HAS2	Type 0	0.471062	0.471062
HAS2	FBN2	Type 0	1.000000	1.000000
AGR3	TCEA3	Type 0	0.298428	0.298428
RSPH1	TCEA3	Type 0	0.335725	0.335725
LOC100288679	BRSK1	Type 0	0.910450	0.910450
BRSK1	FCGR3B	Type 0	0.252632	0.252632
BRSK1	KIAA0146	Type 0	0.301853	0.301853
BRSK1	SEMA3E	Type 0	0.414053	0.414053
TMEM72	ORAI2	Type 0	0.980989	0.980989
SLC35E1	ORAI2	Type 0	0.298696	0.298696
TCF7L2	ZNF677	Type 0	0.999775	0.999775
EIF4A2	PTBP2	Type 0	0.975064	0.975064
ZNF644	PTBP2	Type 0	0.300673	0.300673
RC3H2	PTBP2	Type 0	0.273338	0.273338
ATE1	IKZF5	Type 0	0.518529	0.518529
SNX13	IKZF5	Type 0	0.397720	0.397720
IKZF5	C18orf1	Type 0	0.238186	0.238186
IKZF5	ITPR2	Type 0	0.299132	0.299132
IKZF5	ALDH6A1	Type 0	0.297526	0.297526
IKZF5	CRISP2	Type 0	0.232909	0.232909
IKZF5	GRAMD1C	Type 0	0.211226	0.211226
IKZF5	SPATA6	Type 0	0.325886	0.325886
IKZF5	NCRNA00081	Type 0	0.273354	0.273354
IKZF5	ATE1	Type 0	0.481471	0.481471
IKZF5	CYP4V2	Type 0	0.293520	0.293520
IKZF5	NCKAP5	Type 0	0.294987	0.294987
IKZF5	BMI1	Type 0	1.000000	1.000000
IKZF5	C10orf32	Type 0	0.253549	0.253549
IKZF5	SEC62	Type 0	0.260732	0.260732
SCGB2A2	SCGB1D2	Type 0	0.294344	0.294344
SCGB1D2	SCGB2A2	Type 0	0.705656	0.705656
COL5A1	AEBP1	Type 0	0.775260	0.775260
HTRA1	AEBP1	Type 0	0.215227	0.215227
AEBP1	COMP	Type 0	0.293822	0.293822
AEBP1	ECM1	Type 0	0.289765	0.289765
AEBP1	SPOCK1	Type 0	0.973449	0.973449
ZNF521	ANKRD6	Type 0	0.996501	0.996501
PLS3	ANKRD6	Type 0	0.209115	0.209115
CDC14B	ANKRD6	Type 0	0.298246	0.298246
STON1	ANKRD6	Type 0	0.278816	0.278816
ANKRD6	NGFRAP1	Type 0	0.202834	0.202834
ANKRD6	DOCK5	Type 0	0.296675	0.296675
CCL15///CCL14	PLAC9	Type 0	0.250562	0.250562
ZCCHC24	PLAC9	Type 0	0.211051	0.211051
FXYD1	PLAC9	Type 0	0.845727	0.845727
TNS1	PLAC9	Type 0	0.329131	0.329131
PLAC9	ADAMTS18	Type 0	0.367720	0.367720
PLAC9	CLEC3B	Type 0	0.255573	0.255573
PLAC9	COX7A1	Type 0	0.259825	0.259825
PLAC9	PKDCC	Type 0	0.228395	0.228395
PLAC9	MUSTN1	Type 0	0.212907	0.212907
RARRES1	PLIN2	Type 0	0.309972	0.309972
ADM	PLIN2	Type 0	0.212126	0.212126
CD163	PLIN2	Type 0	0.344267	0.344267
CCR1	PLIN2	Type 0	0.988614	0.988614
PLIN2	MMP12	Type 0	0.378289	0.378289
PLIN2	SPP1	Type 0	0.264581	0.264581
PLIN2	ADM	Type 0	0.557934	0.557934
PLIN2	FAM38B	Type 0	0.214244	0.214244
PLIN2	IL1RN	Type 0	1.000000	1.000000
PLIN2	NDRG1	Type 0	0.626508	0.626508
SCRG1	NCAN	Type 0	0.297668	0.297668
SHC4	NCAN	Type 0	0.476526	0.476526
LOC650392	NCAN	Type 0	0.285548	0.285548
PRSS33	NCAN	Type 0	0.963190	0.963190
NCAN	OLIG1	Type 0	0.297412	0.297412
MRPS12	TOMM22	Type 0	0.498149	0.498149
MRPL44	TOMM22	Type 0	0.364111	0.364111
HSPB11	TOMM22	Type 0	0.248650	0.248650
RANBP1	TOMM22	Type 0	0.499296	0.499296
TOMM22	HIST1H2AB///HIST1H2AE	Type 0	0.276379	0.276379
TOMM22	NCRNA00188	Type 0	0.466103	0.466103
TOMM22	RTN4IP1	Type 0	0.267035	0.267035
TOMM22	C6orf108	Type 0	0.293406	0.293406
TOMM22	FAM83F	Type 0	0.999258	0.999258
TOMM22	C7orf55	Type 0	0.217030	0.217030
TOMM22	RANBP1	Type 0	0.500704	0.500704
TOMM22	KIAA0114	Type 0	0.298690	0.298690
AGR3	TFF1	Type 0	0.653416	0.653416
TAGAP	ST6GAL1	Type 0	0.289450	0.289450
ST6GAL1	PIP5K1B	Type 0	0.221331	0.221331
C4orf7	BCL2L14	Type 0	0.991332	0.991332
IDO1	BCL2L14	Type 0	0.328947	0.328947
BCL2A1	BCL2L14	Type 0	0.267935	0.267935
TMEM63C	LMTK3	Type 0	0.218813	0.218813
METRN	LMTK3	Type 0	0.216564	0.216564
FCGR3B///FCGR3A	FCGR2C	Type 0	0.445335	0.445335
CD86	FCGR2C	Type 0	0.650495	0.650495
FCGR2C	FCGR3B///FCGR3A	Type 0	0.554665	0.554665
FCGR2C	FCGR2B	Type 0	0.919936	0.919936
CMAH	FBXO2	Type 0	0.300904	0.300904
APLP1	FBXO2	Type 0	0.986751	0.986751
SMARCD3	FBXO2	Type 0	0.299107	0.299107
ELMO3	FBXO2	Type 0	0.224966	0.224966
LOC283508	FBXO2	Type 0	0.293458	0.293458
EMG1	FBXO2	Type 0	0.295826	0.295826
AGR3	ESR1	Type 0	0.384202	0.384202
ESR1	CPB1	Type 0	0.302386	0.302386
ESR1	AGR3	Type 0	0.615798	0.615798
DLGAP5	SHCBP1	Type 0	0.975323	0.975323
SHCBP1	NETO2	Type 0	1.000000	1.000000
SHCBP1	PHLDA2	Type 0	1.000000	1.000000
PLS3	SLC39A14	Type 0	0.378752	0.378752
SLC39A14	TMEM45A	Type 0	0.412107	0.412107
SLC39A14	CD109	Type 0	0.237695	0.237695
DLD	PPP2R3C	Type 0	0.997506	0.997506
COPS4	PPP2R3C	Type 0	0.256163	0.256163
PPP2R3C	RORB	Type 0	0.380652	0.380652
ESR1	BMPR1B	Type 0	0.999287	0.999287
B3GNT5	CA13	Type 0	0.214823	0.214823
KLF5	CA13	Type 0	0.999319	0.999319
PREX1	CA13	Type 0	0.354695	0.354695
MPZL2	CA13	Type 0	0.288784	0.288784
ACTR3B	CA13	Type 0	0.300033	0.300033
SLAMF8	F5	Type 0	0.257440	0.257440
AIM2	F5	Type 0	0.201031	0.201031
CSNK1A1	GATAD1	Type 0	0.929150	0.929150
PIK3C2A	GATAD1	Type 0	0.282457	0.282457
GATAD1	HIP1	Type 0	0.296635	0.296635
GATAD1	KRIT1	Type 0	0.355999	0.355999
AGR3	AGR2	Type 0	0.730096	0.730096
AGR2	AGR3	Type 0	0.228497	0.228497
SIDT1	PPFIA4	Type 0	0.298074	0.298074
ADM	PPFIA4	Type 0	0.411405	0.411405
VEGFA	PPFIA4	Type 0	0.344535	0.344535
PPFIA4	SCNN1B	Type 0	0.298072	0.298072
NRTN	LOC100287039	Type 0	0.296659	0.296659
BOP1	LOC100287039	Type 0	0.411549	0.411549
TRAK2	LOC100287039	Type 0	0.226983	0.226983
LOC100287039	SERTAD4	Type 0	0.409062	0.409062
LOC100287039	LDOC1	Type 0	0.302787	0.302787
AURKA	CSE1L	Type 0	0.343575	0.343575
TRIP13	CSE1L	Type 0	0.240277	0.240277
GINS1	CSE1L	Type 0	0.962244	0.962244
RAD51AP1	CSE1L	Type 0	0.296296	0.296296
LOX	GPX8	Type 0	0.991280	0.991280
SEC23A	GPX8	Type 0	0.294916	0.294916
GPX8	F2RL1	Type 0	0.295775	0.295775
GPX8	C12orf75	Type 0	0.210007	0.210007
CREBZF	CPSF6	Type 0	0.209989	0.209989
CPSF6	SPIN3	Type 0	0.300135	0.300135
MSH6	CARS	Type 0	0.269422	0.269422
CDC5L	CARS	Type 0	0.910785	0.910785
AGR3	FABP7	Type 0	0.295348	0.295348
MYH11	NGFR	Type 0	0.237534	0.237534
MEOX1	NGFR	Type 0	0.946554	0.946554
TSHZ2	NGFR	Type 0	0.454545	0.454545
NGFR	CALML3	Type 0	0.309278	0.309278
NGFR	ODZ2	Type 0	0.448700	0.448700
PAPLN	ADRBK2	Type 0	0.337972	0.337972
EBF1	ADRBK2	Type 0	0.297505	0.297505
CREBL2	ADRBK2	Type 0	0.241935	0.241935
N4BP2L1	ADRBK2	Type 0	0.243341	0.243341
NAA15	TLK1	Type 0	0.910559	0.910559
UFM1	TLK1	Type 0	0.334446	0.334446
DDX3X	TLK1	Type 0	0.251392	0.251392
TLK1	SPIN3	Type 0	0.272157	0.272157
MSH6	DCAF17	Type 0	0.999303	0.999303
DCAF17	LOC653071	Type 0	0.206873	0.206873
DCAF17	MIR21///TMEM49	Type 0	0.587464	0.587464
DCAF17	COPG2	Type 0	0.295441	0.295441
DCAF17	RTN3	Type 0	0.300566	0.300566
DCAF17	RPL38	Type 0	0.332056	0.332056
GABRP	PROM1	Type 0	0.372947	0.372947
LOC729222///PPFIBP1	PPFIBP1	Type 0	0.487744	0.487744
RBM25	PPFIBP1	Type 0	0.695859	0.695859
MYH10	PPFIBP1	Type 0	0.205156	0.205156
PPFIBP1	FBXO32	Type 0	0.319289	0.319289
PPFIBP1	LOC729222///PPFIBP1	Type 0	0.512256	0.512256
CAV2	CFL2	Type 0	0.404347	0.404347
CFL2	MUC19	Type 0	0.297726	0.297726
CFL2	HOXC9	Type 0	0.346996	0.346996
ART3	UMODL1	Type 0	0.994861	0.994861
TPSB2	UMODL1	Type 0	0.205493	0.205493
KCNQ4	UMODL1	Type 0	0.298264	0.298264
IL12RB2	UMODL1	Type 0	0.258824	0.258824
LOC285628	UMODL1	Type 0	0.249406	0.249406
C21orf2	UMODL1	Type 0	0.280130	0.280130
CHRM1	UMODL1	Type 0	0.300958	0.300958
UMODL1	POU2F3	Type 0	0.296063	0.296063
AGR2	FOXA1	Type 0	0.235047	0.235047
FOXA1	ANKRD30A	Type 0	0.635613	0.635613
FOXA1	LOC646360	Type 0	0.294612	0.294612
RGS2	VIM	Type 0	0.904882	0.904882
CTGF	VIM	Type 0	0.300064	0.300064
SERPINE1	VIM	Type 0	0.298013	0.298013
VTA1	MRPL42	Type 0	0.247451	0.247451
PSMA2	MRPL42	Type 0	0.489341	0.489341
MRPL42	ALG13	Type 0	0.992295	0.992295
MRPL42	MRPS23	Type 0	0.210126	0.210126
MRPL42	MRPS28	Type 0	0.202456	0.202456
MRPL42	PSMA2	Type 0	0.510659	0.510659
TMC8	PLA2G4C	Type 0	0.219569	0.219569
BTN3A2///BTN3A3	PLA2G4C	Type 0	0.300160	0.300160
C10orf128	PLA2G4C	Type 0	0.282565	0.282565
APOL3	PLA2G4C	Type 0	0.293312	0.293312
BUB1B	ZWINT	Type 0	0.964670	0.964670
EIF1AX	CBX3	Type 0	0.307459	0.307459
TAX1BP1	CBX3	Type 0	0.234888	0.234888
CBX3	LIPE	Type 0	0.259519	0.259519
MRPL44	HSPA9	Type 0	0.444908	0.444908
RNF14	HSPA9	Type 0	0.665101	0.665101
S100A8	S100A7	Type 0	0.574739	0.574739
S100A7	S100A8	Type 0	0.341868	0.341868
RPL36	TMEM65	Type 0	0.913374	0.913374
TMEM65	LY6K	Type 0	0.988068	0.988068
TMEM65	PRND	Type 0	0.292711	0.292711
TNFRSF25	NLRP2	Type 0	0.265869	0.265869
NPTX2	HUNK	Type 0	0.302352	0.302352
PHLDA2	HUNK	Type 0	0.387390	0.387390
C21orf45	HUNK	Type 0	0.288288	0.288288
ZDHHC21	HUNK	Type 0	0.984831	0.984831
C1orf63	HUNK	Type 0	0.236962	0.236962
C21orf2	HUNK	Type 0	0.241163	0.241163
AKD1	HUNK	Type 0	0.296420	0.296420
NLGN4X	NPW	Type 0	0.296272	0.296272
SEPP1	NPW	Type 0	0.205128	0.205128
ECM2	NPW	Type 0	0.300106	0.300106
RHOU	NPW	Type 0	0.217842	0.217842
PLIN1	TIMP4	Type 0	0.215654	0.215654
SEMA3G	TIMP4	Type 0	0.282435	0.282435
GPD1	TIMP4	Type 0	0.907587	0.907587
CD53	NCKAP1L	Type 0	0.481916	0.481916
ARHGAP9	NCKAP1L	Type 0	0.205591	0.205591
CD4	NCKAP1L	Type 0	0.815277	0.815277
PIP	CYP4Z1	Type 0	0.349911	0.349911
CYP4Z1	SCGB2A2	Type 0	0.280625	0.280625
CYP4Z1	TFAP2B	Type 0	0.201967	0.201967
CYP4Z1	SCGB1D2	Type 0	0.298001	0.298001
IKZF1	IL10RA	Type 0	0.452103	0.452103
PLEK	IL10RA	Type 0	0.291608	0.291608
HCLS1	IL10RA	Type 0	0.260157	0.260157
IL10RA	IKZF1	Type 0	0.547897	0.547897
IL10RA	RCSD1	Type 0	0.934100	0.934100
IL10RA	PLEK	Type 0	0.210627	0.210627
IL10RA	RASSF4	Type 0	0.228054	0.228054
IL10RA	HCLS1	Type 0	0.718225	0.718225
PICALM	ZNF146	Type 0	0.953877	0.953877
KPNA4	ZNF146	Type 0	0.284084	0.284084
ZNF146	PDE7A	Type 0	0.466104	0.466104
IFIH1	TRIM14	Type 0	0.961301	0.961301
TAP1	TRIM14	Type 0	0.218584	0.218584
PARP9	TRIM14	Type 0	0.208991	0.208991
TRIM14	CORO2A	Type 0	0.269827	0.269827
BMPR1B	GRIA2	Type 0	0.298370	0.298370
COL1A2	MEGF6	Type 0	0.994248	0.994248
MMP2	MEGF6	Type 0	0.297563	0.297563
ATRX	NANOGNB	Type 0	0.338030	0.338030
KIAA0368	NANOGNB	Type 0	0.898152	0.898152
ATRX	FNTA	Type 0	0.301024	0.301024
VPS13B	FNTA	Type 0	0.960141	0.960141
CRLS1	FNTA	Type 0	0.274760	0.274760
NPY1R	MBOAT1	Type 0	0.215296	0.215296
CLCA2	MBOAT1	Type 0	0.299141	0.299141
CAP2	MBOAT1	Type 0	0.344493	0.344493
SGK3	MBOAT1	Type 0	0.287338	0.287338
CFLAR	MAP4K4	Type 0	0.735785	0.735785
RLIM	MAP4K4	Type 0	0.413786	0.413786
KLF12	MAP4K4	Type 0	0.503150	0.503150
MAP4K4	PCDHGA4	Type 0	0.352626	0.352626
MAP4K4	PDZD2	Type 0	1.000000	1.000000
MAP4K4	PLS1	Type 0	0.385747	0.385747
MAP4K4	SLC6A16	Type 0	1.000000	1.000000
MAP4K4	ENPP4	Type 0	0.233515	0.233515
MAP4K4	C21orf96	Type 0	0.290297	0.290297
MAP4K4	LOC728061	Type 0	0.205282	0.205282
MAP4K4	LOC100128508	Type 0	0.245731	0.245731
MAP4K4	KLF12	Type 0	0.496850	0.496850
NUDT4P1///NUDT4	TIPARP	Type 0	0.292580	0.292580
GNS	TIPARP	Type 0	0.251052	0.251052
TMEM87B	TIPARP	Type 0	0.994099	0.994099
LYSMD3	TIPARP	Type 0	0.300633	0.300633
LOC100133811///LOC100133661///ZNF749///RNASE2///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB2///HLA-DRB1	APOE	Type 0	0.988636	0.988636
C1QA	APOE	Type 0	0.316419	0.316419
FOXC1	RIPK4	Type 0	0.291804	0.291804
SLPI	RIPK4	Type 0	0.971653	0.971653
MICALL1	RIPK4	Type 0	0.375497	0.375497
RIPK4	C15orf52	Type 0	0.299890	0.299890
ATRX	BMP2K	Type 0	0.380003	0.380003
ANKRD12	BMP2K	Type 0	0.976374	0.976374
BMP2K	GPX2	Type 0	0.989596	0.989596
ESR1	AFF3	Type 0	0.622950	0.622950
AFF3	S100A8	Type 0	0.636879	0.636879
AFF3	NPY1R	Type 0	0.226535	0.226535
ATG16L2	LOC100130097	Type 0	0.999072	0.999072
MCL1	AKIRIN2	Type 0	0.273867	0.273867
CDC5L	AKIRIN2	Type 0	0.883257	0.883257
AKIRIN2	PSPC1	Type 0	0.826478	0.826478
PRRT2	BZRAP1	Type 0	0.405738	0.405738
C3orf15	BZRAP1	Type 0	0.289367	0.289367
IDH1	BZRAP1	Type 0	0.996923	0.996923
BZRAP1	C6orf141	Type 0	0.216765	0.216765
BZRAP1	IL17RB	Type 0	0.370596	0.370596
BZRAP1	ZDHHC8P1	Type 0	0.294246	0.294246
AGR3	CYP2B7P1///CYP2B6	Type 0	0.229021	0.229021
ABCA8	LAMA2	Type 0	0.240688	0.240688
COL14A1	LAMA2	Type 0	0.847868	0.847868
SPARCL1	LAMA2	Type 0	0.207051	0.207051
LAMA2	GEM	Type 0	0.206122	0.206122
ESR1	NR2E3	Type 0	0.321654	0.321654
THSD4	NR2E3	Type 0	0.955485	0.955485
NR2E3	CYP2A7	Type 0	0.223301	0.223301
SRRM2	GPATCH8	Type 0	0.910267	0.910267
GON4L	GPATCH8	Type 0	0.225990	0.225990
GPATCH8	LUC7L3	Type 0	0.278338	0.278338
GPATCH8	TMEM106C	Type 0	0.613658	0.613658
GPATCH8	LOC284219	Type 0	0.228032	0.228032
GPATCH8	IDH1	Type 0	0.806443	0.806443
GPATCH8	WHSC1L1	Type 0	0.219073	0.219073
GPATCH8	ARMC8	Type 0	0.895460	0.895460
GPATCH8	GON4L	Type 0	0.591746	0.591746
GPATCH8	ERICH1	Type 0	0.988910	0.988910
GPATCH8	ANKRD13D	Type 0	0.392169	0.392169
GPATCH8	ARL17A	Type 0	0.497620	0.497620
GPATCH8	TTC17	Type 0	0.970972	0.970972
GPATCH8	MYO19	Type 0	0.275060	0.275060
LOC100128439	ATP6V0A4	Type 0	0.520258	0.520258
ATP6V0A4	FOXI1	Type 0	0.210526	0.210526
FAM174A	PLA2G12A	Type 0	0.464665	0.464665
TNFAIP3	PLA2G12A	Type 0	0.247529	0.247529
PLA2G12A	MYO5B	Type 0	0.374936	0.374936
PLA2G12A	CDS1	Type 0	0.287563	0.287563
GPSM2	VANGL1	Type 0	0.367455	0.367455
SMC2	VANGL1	Type 0	0.218244	0.218244
VTA1	VANGL1	Type 0	0.220825	0.220825
HS2ST1	VANGL1	Type 0	0.246527	0.246527
DOCK7	VANGL1	Type 0	0.284478	0.284478
SSX2IP	VANGL1	Type 0	0.942679	0.942679
VANGL1	SIGLEC15	Type 0	0.299399	0.299399
VANGL1	ZNF185	Type 0	0.252141	0.252141
GOLIM4	ENC1	Type 0	0.316724	0.316724
RBMS3	RBM43	Type 0	0.221175	0.221175
FBXL13	RBM43	Type 0	0.202637	0.202637
FAM64A	RBM43	Type 0	0.301130	0.301130
BANK1	FCRLA	Type 0	0.204028	0.204028
CD19	FCRLA	Type 0	0.940242	0.940242
FCRLA	POU2F2	Type 0	0.242592	0.242592
IQGAP3	KRT80	Type 0	0.302572	0.302572
CENPN	KRT80	Type 0	0.233440	0.233440
KRT80	CST6	Type 0	0.200000	0.200000
MCM10	DHTKD1	Type 0	0.238558	0.238558
GTSE1	DHTKD1	Type 0	0.989560	0.989560
DHTKD1	CENPBD1	Type 0	0.298464	0.298464
NDUFA2	MDP1	Type 0	0.392120	0.392120
CHCHD5	MDP1	Type 0	0.897874	0.897874
MDP1	KBTBD11	Type 0	0.298416	0.298416
MDP1	WDR54	Type 0	0.554969	0.554969
SFRP1	GABRP	Type 0	0.225918	0.225918
SFRP1	KRT14	Type 0	0.407831	0.407831
ALDH6A1	ENPP5	Type 0	0.297170	0.297170
ALDH6A1	GHR	Type 0	0.293382	0.293382
ALDH6A1	ACSS3	Type 0	0.264606	0.264606
ALDH6A1	SLC12A2	Type 0	0.983552	0.983552
ALDH6A1	THRB	Type 0	0.328986	0.328986
ALDH6A1	SHROOM3	Type 0	0.314496	0.314496
