Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down	BS.EdgeTypeRatio
ABCF1	ASB1	0.084400	0.084400	0.000000	0.843602	3	unknown	nan/nan/nan
ABCF1	ATP2B1	0.211500	0.211500	0.000000	0.637825	3	unknown	nan/nan/nan
ABCF1	CASP7	0.213400	0.213400	0.000000	0.984067	3	unknown	nan/nan/nan
ABCF1	CD83	0.063500	0.063500	0.000000	0.869291	3	unknown	nan/nan/nan
ABCF1	CHODL	0.459300	0.459300	0.000000	0.709558	3	unknown	nan/nan/nan
CYP2U1	ABCF1	0.267300	0.267300	0.000000	0.983913	3	unknown	nan/nan/nan
DUSP2	ABCF1	0.319100	0.319100	0.000000	0.747101	3	unknown	nan/nan/nan
ABCF1	DUSP6	0.201400	0.201400	0.000000	0.688679	3	unknown	nan/nan/nan
ELF2	ABCF1	0.152900	0.152900	0.000000	0.571615	3	unknown	nan/nan/nan
EML4	ABCF1	0.477500	0.477500	0.000000	0.914555	3	unknown	nan/nan/nan
ABCF1	EREG	0.254400	0.254400	0.000000	0.995283	3	unknown	nan/nan/nan
ABCF1	F2RL1	0.063000	0.063000	0.000000	0.890476	3	unknown	nan/nan/nan
FGF1	ABCF1	0.115900	0.115900	0.000000	0.652286	3	unknown	nan/nan/nan
FGFBP1	ABCF1	0.222900	0.222900	0.000000	0.953342	3	unknown	nan/nan/nan
ABCF1	IL1A	0.071600	0.071600	0.000000	0.939944	3	unknown	nan/nan/nan
ITGB7	ABCF1	0.113200	0.113200	0.000000	0.767668	3	unknown	nan/nan/nan
ABCF1	KRTAP1-3	0.118400	0.118400	0.000000	0.511824	3	unknown	nan/nan/nan
ABCF1	LDLR	0.051200	0.051200	0.000000	0.996094	3	unknown	nan/nan/nan
ABCF1	MMP10	0.116300	0.116300	0.000000	0.898538	3	unknown	nan/nan/nan
NEDD4	ABCF1	0.175700	0.175700	0.000000	0.618099	3	unknown	nan/nan/nan
ABCF1	NOTCH4	0.055200	0.055200	0.000000	0.619565	3	unknown	nan/nan/nan
ABCF1	PFDN1	0.056300	0.056300	0.000000	0.939609	3	unknown	nan/nan/nan
PYGB	ABCF1	0.050200	0.050200	0.000000	0.713147	3	unknown	nan/nan/nan
RB1	ABCF1	0.057800	0.057800	0.000000	0.659170	3	unknown	nan/nan/nan
ABCF1	SESN1	0.063600	0.063600	0.000000	0.699686	3	unknown	nan/nan/nan
SOCS1	ABCF1	0.684600	0.684600	0.000000	0.638037	3	unknown	nan/nan/nan
ABCF1	SOCS3	0.091800	0.091800	0.000000	0.656863	3	unknown	nan/nan/nan
THRB	ABCF1	0.053300	0.053300	0.000000	0.996248	3	unknown	nan/nan/nan
ABLIM1	ALDOA	0.055400	0.055400	0.000000	0.500000	3	unknown	nan/nan/nan
